Book	Smell_Word	Smell_Source	Quality	Odour_Carrier	Evoked_Odorant	Location	Perceiver	Time	Circumstances	Effect	SentenceBefore	Sentence	SentenceAfter
guit3	profumo|profumo	del cielo|della colpa									Venivano a trovarlo , nelle sue ore di sogno , fanciulle castane , dagli occhi pieni di luce e di bontÃ   , dai sorrisi semplici , donnine bionde e delicate , dalle movenze aggraziate , dalle labbra di carminio , donne brune e splendide , dagli occhioni di baiadera , dalle bocche provocanti e voluttuose , verginelle pallide e mistiche , dai volti esangui e dai corpi magri , peccatrici dagli occhi tinti e dalle guance biaccose .	Venivano nei loro abiti di raso , di lana , di broccato , di cenci , di teletta , di trine , tutte sfolgoranti di bellezza , sorridenti di bontÃ   , traspiranti malinconia , emanando il profumo del cielo o il profumo della colpa .	Esse venivano a lui , sedevano , gli narravano la propria vita , piangevano , ridevano appoggiavano il capo sulle sue ginocchia , canticchiavano una canzoncina , mormoravano dei versi pieni di dolore , suonavano sopra l ' arpa una tarantella , sfogliavano dei fiori , poi , come Ophelia , partivano per ritornare .
guit3	profumata	dai fiori					Bianca	ben calda l ' inverno|fresca l ' estate			Lui si sposÃ ² il suo bottoncino d ' oro .	Egli era felicissimo in casa , poichÃ ¨ Bianca , la moglie , gliela faceva trovare elegante , profumata dai fiori , ben calda l ' inverno , ben fresca l ' estate : poichÃ ¨ egli nulla sapeva dell ' amministrazione , delle seccature mortali che affliggono la mente di un artista .	Ma l ' amore , il profondo ed unico amore della sua vita era quella giovanetta svelta che girava per la casa con la sua testa luminosa , coi grandi occhi sereni ed innocenti .
guit3	profumo		volgare								- - Lo spigonardo , dicono , conserva la seta dai tarli .	- - SÃ ¬ , ma Ã ¨ un profumo volgare , Cecilia .	Metti dell ' ireos .
guit3	odore	dei fiori secchi									- - Che ne farai , di questi fiori ? - - Li sfoglierÃ ² nel cassone .	Ã  buono l ' odore dei fiori secchi .	Peccato , dovrei avere le gaggie .
guit3	olezzanti|olezzanti	i gelsomini	olezzanti|olezzanti								Si pose a sfogliare le rose , lasciandone cadere i petali nella cassa , come una pioggia delicata ; buttÃ ² via gli steli nudi e verdi .	Poi sfogliÃ ² i gelsomini che le cadevano fra le dita , lievi ed olezzanti .	Rimase a guardare l ' opera sua , tutta sorridente .
guit3	profumo		penetrante				mi|mi			che mi|mi dÃ   ai nervi	ho la testa un po ' confusa .	Qui vi Ã ¨ un profumo penetrante che mi dÃ   ai nervi .	- - Ora va bene - - approvÃ ² lei col capo , agitando lievemente il ventaglio .
guit3	profumo	il fiore									Egli la prese a volo e la odorÃ ² lungamente , mentre ella osservava con attenzione .	Aveva baciato il fiore o aspirato solamente il profumo ? - - .	.
guit3	profumato|profumato|odori|odori		profumato|profumato		come un sacchettino di odori|odori						* * * Il manicotto della signora giaceva sopra una poltroncina , gittato lÃ   per noncuranza .	Era un manicotto di volpe russa , foderato di raso nero , tutto profumato come un sacchettino di odori .	Pareva piccolo piccolo , capace di nascondere solo quelle manine morbide : ma egli stesso era morbido e cedeva e v ' entrava dentro un piccolo mondo di cose disparate .
guit3	profumato|profumato|profumo	di|di _|_ chypre|chypre	profumato|profumato|lento|voluttuoso		di|di _|_ chypre|chypre			a sua volta		finisce per addormentare i nervi	Ma era impossibile che il pubblico ignaro potesse scoprire quella cifra .	Questo fazzolettino era a sua volta profumato di _ chypre _ , un profumo lento e voluttuoso che finisce per addormentare i nervi : un angoluccio era piegato e annodato come i fazzoletti delle serve che vi mettono i denari .	Vi era una carta infatti : una immagine della Madonna dei Sette Dolori .
guit3	profumate|profumate		profumate|profumate	lettere							Avevo la gola secca , le fauci riarse , le guancie mi bruciavano .	Prendevo lo sue lettere , profumate , fresche , e me le metteva sul volto , sperando averne qualche refrigerio .	Dal terrazzo , vestito , tutto pronto , cavando l ' orologio nella penombra della luna tramontata e del giorno che sorgeva , vidi aprirsi una ad una le case dei contadini .
guit3	profumo|profumo	dei suoi guanti|suo	acuto				io				L ' albergatore dalla soglia ci sorride .	Lei sorride con gli occhi pieni di lagrime , io non sento che il profumo acuto dei suoi guanti , il suo profumo .	.
guit3	profumato|profumato	questo	profumato|profumato|elegante								Camminava impacciata e guardinga , gelata dal freddo , riarsa dal caldo , urtando nelle colonnine ; smarrendo la via sotto la maschera .	GiÃ   qualche viandante si era fermato a veder passare questo dominÃ ² imbarazzato , profumato ed elegante .	Uno l ' aveva chiamata , offrendole da cena .
guit3	odoroso|odoroso|profumi		odoroso|odoroso|antichi								FALSO IN SCRITTURA .	TrovÃ ² nel prezioso cassettino di ebano , tutto odoroso di profumi antichi , tutto pieno di morticini sotto la forma di un braccialetto , di un ditale , di un frammento di marmo , di un brandello di merletto , di una perla smarrita , queste tre lettere che formano un morto solo che furono un sol lutto .	12 Maggio .
guit3	fragranza	d ' anima									Me lo dica quando sia perfettamente sicuro di sÃ ¨ , Allora vedrÃ   che io non sarÃ ² ingrata a questo abbandono immenso che ella farÃ   per amore di me .	Io ho per quel tempo un bel progetto uno stupendo progetto tutto spirituale , tutta fragranza d ' anima .	Se vuole , io sarÃ ² la sua amica , la sua buona e servizievole amica ; lei sarÃ   il mio sincero amico .
guit3	profumo	il mio rosaio di legno di _ sandal	acutamente mistico .	i cui granelli		sotto lo stropiccio delle dita					Dopo , nel giorno della Madonna , un lucido e bel giorno io ho ricevuto a casa un mazzo di fiori , mughetti e gigli , una meraviglia di candore .	Io ho mandato a lui il mio rosaio di legno di _ sandal _ , i cui granelli , sotto lo stropiccio delle dita , sprigionano un profumo acutamente mistico .	Ci vediamo sempre , la domenica , al vespro nella chiesa dei Gerolomini .
guit3	profumi		violenti								Ambedue siamo torturati dall ' amore , ambedue soffriamo le pene dei dannati per la gelosia che ci rode , ambedue rotoliamo , inebbriati di amore e di dolore , per una china dirupata dove a nulla possiamo rattenerci .	Noi abbiamo le medesime folli e ammalate inclinazioni per i fiori rossi del papavero , per le cose cupe e tragiche , per i tramonti incendiati , per le albe sanguigne , per gli azzurri oltremarini , per le maremme pestilenziali sotto il sole , per i profumi violenti , per l ' oro intarsiato che pare scorrere , fluido , liquido , sul fondo nero della lacca , per i grilli sfiniti che muoiono d ' amore nel solco fumicante , per le farfalle nere che si abbruciano intorno al lume .	Ci amiamo : Ã ¨ lui il mio poeta , sono io la sua dea .
guit3	puzzano	di|di vernice|vernice fresca|fresca			di|di vernice|vernice fresca|fresca						* * * PerchÃ ¨ , pochi lo sanno e nessuno ci pensa , ma Ã ¨ una piccola cittÃ   di Germania quella che fa contenti tutti i bambini dell ' Europa .	Da Nuremberg , la cittÃ   gotica , dall ' architettura fantastica e bizzarra , dalle torricelle merlate e dalle case di legno , dalla piccola Nuremberg partono i tesori che destano il riso sulle labbra infantili : le bambole dal roseo viso di cera , dagli occhi azzurri senza pensiero , dai capelli biondi come la stoppa ; i fantoccetti vestiti da zuavo , da Arlecchino , da Rigoletto ; le armi miracolose , le trombettine di stagno dal suono stridulo ; le scatole donde vengono fuori le casettine microscopiche che puzzano di vernice fresca , gli alberetti fatti con un bastoncello ed un fiocchetto di trucioli tinti di verde , i piccoli appartamenti , le piccole cucine , i piccoli animali , i piccoli soldati ed infine tutto il mondo minuscolo , la vita microscopica che prepara il bimbo alla vita vera .	In Nuremberg , cittÃ   della gioia e della tranquillitÃ   , dove gli innocenti operai delle fabbriche di giocattoli sorridono nella consolazione di una coscienza soddisfatta ; in Nuremberg dovrebbero andare in gaio pellegrinaggio tutti i bambini , accompagnati dalle madri giovanette , processione fulgida e meravigliosa .
guit3	odorosa|odorosa|profumate|profumate	moltissima erba	odorosa|odorosa|profumate|profumate	le scarpette della signora							Nel parco , nel bosco , ne ' prati , avevan passeggiato per molto tempo .	Avevan calpestato moltissima erba odorosa , e le scarpette della signora dovevan esserne profumate ; lei si lagnava di una pietruzza fra la calza di seta e la suola .	Avevan disturbato una quantitÃ   infinita di nervose lucertoline , di grilli , di formiche ; anzi , a proposito delle formiche , il signore , un po ' intenerito , voleva dare un tuffo nella poesia .
guit3	profumo	delle rose				sotto le terrazze	Egli				Nelle escursioni di piacere egli si smarriva nei boschetti or con una , or con un ' altra , ma non parlava d ' amore a nessuna .	Egli passava volentieri le notti di estate all ' aria aperta , passeggiando sotto le terrazze imbalsamate dal profumo delle rose , senza che si sapesse per quale terrazza egli passeggiasse piÃ ¹ specialmente .	CosÃ ¬ se qualcuna aveva per lui una simpatia segreta , non si poteva dire quale fosse la sua segreta simpatia .
guit3	profumata					Italia					Nulla vibrava in quella fanciulla .	Invano egli le parlava dell ' Italia , della divina e profumata Italia , in cui la vita si colorisce nell ' amore , dalle tinte piÃ ¹ delicate dell ' argentino - roseo sino alle cupe , profonde e rosse , del rosso che pare nero .	Invano egli le diceva della bionda Dalmazia dalle forti donne , della Dalmazia bionda cui bagna malinconicamente il freddo , glauco e malvagio Adriatico .
guit3	olezzo	dell ' amore									Dinanzi agli orrizonti sereni , dinanzi all ' Jonio azzurro , con la frase eloquente e calda , egli ricostruÃ ¬ quei templi dalle linee pure , dalla bellezza immortale , quelle cittÃ   piene di luce e di amore , quei portici dove s ' elevava nell ' aria l ' alto insegnamento dell ' ideale .	PiÃ ¹ indietro , piÃ ¹ indietro ancora , le disse di quella stupenda natura , in cui tutto era divino , gli alberi , i fiori , i fiumi , in cui cinquemila Dei popolavano un Olimpo , in cui le nozze fra il cielo e la terra mettevano nell ' aria l ' immensitÃ   della passione , il mormorÃ ¬ o dei baci e l ' olezzo dell ' amore .	Ella non comprendeva .
guit5	fragranza	di fiori d ' arancio	acuta			dai giardini					Sbuffa .	Brontola : ) _ A quest ' ora , sale dai giardini una fragranza di fiori d ' arancio cosÃ ¬ acuta che dÃ   alla testa ! .	.
guit5	fragranza	di fiori d ' arancio									.	Questa fragranza di fiori d ' arancio .	.
guit7	odori		mille				vi				Oro e argento fine , cocco e biacca , indaco , legno lucido e sereno , fresco smeraldo in lÂ  ora che si fiacca , da lÂ  erba e da li fior , dentrÂ  a quel seno posti , ciascun saria di color vinto , come dal suo maggiore Ã ¨ vinto il meno .	Non avea pur natura ivi dipinto , ma di soavitÃ   di mille odori vi facea uno incognito e indistinto .	Â  Salve , ReginaÂ  in sul verde e Â  n suÂ  fiori quindi seder cantando anime vidi , che per la valle non parean di fuori .
guit7	puzzo						mi				Â « O Virgilio , Virgilio , chi Ã ¨ questa ? Â » , fieramente dicea ; ed el venÃ ¬ a con li occhi fitti pur in quella onesta .	LÂ  altra prendea , e dinanzi lÂ  apria fendendo i drappi , e mostravami Â  l ventre ; quel mi svegliÃ ² col puzzo che nÂ  uscia .	Io mossi li occhi , e Â  l buon maestro : Â « Almen tre voci tÂ  ho messe ! Â » , dicea , Â « Surgi e vieni ; troviam lÂ  aperta per la qual tu entreÂ » .
guit7	odoro		¯								Del folle AcÃ   n ciascun poi si ricorda , come furÃ ² le spoglie , sÃ ¬ che lÂ  ira di IosÃ ¼ Ã ¨ qui par chÂ  ancor lo morda .	Indi accusiam col marito Saffira ; lodiam i calci chÂ  ebbe ElÃ ¯ odoro ; e in infamia tutto Â  l monte gira PolinestÃ ² r chÂ  ancise Polidoro ; ultimamente ci si grida : Â  Crasso , dilci , che Â  l sai : di che sapore Ã ¨ lÂ  oro ? Â  .	Talor parla lÂ  uno alto e lÂ  altro basso , secondo lÂ  affezion chÂ  ad ir ci sprona ora a maggiore e ora a minor passo : perÃ ² al ben che Â  l dÃ ¬ ci si ragiona , dianzi non era io sol ; ma qui da presso non alzava la voce altra personaÂ » .
guit7	odorar	un alber	soavi|buoni				io				Elli givan dinanzi , e io soletto di retro , e ascoltava i lor sermoni , chÂ  a poetar mi davano intelletto .	Ma tosto ruppe le dolci ragioni un alber che trovammo in mezza strada , con pomi a odorar soavi e buoni ; e come abete in alto si digrada di ramo in ramo , cosÃ ¬ quello in giuso , credÂ  io , perchÃ © persona sÃ ¹ non vada .	Dal lato onde Â  l cammin nostro era chiuso , cadea de lÂ  alta roccia un liquor chiaro e si spandeva per le foglie suso .
guit7	olezza	fiori						aura di maggio			LÂ  aspetto suo mÂ  avea la vista tolta ; per chÂ  io mi volsi dietro aÂ  miei dottori , comÂ  om che va secondo chÂ  elli ascolta .	E quale , annunziatrice de li albori , lÂ  aura di maggio movesi e olezza , tutta impregnata da lÂ  erba e daÂ  fiori ; tal mi sentiÂ  un vento dar per mezza la fronte , e ben sentiÂ  mover la piuma , che fÃ © sentir dÂ  ambrosÃ ¯ a lÂ  orezza .	E sentiÂ  dir : Â « Beati cui alluma tanto di grazia , che lÂ  amor del gusto nel petto lor troppo disir non fuma , esurÃ ¯ endo sempre quanto Ã ¨ giusto ! Â » .
guit9	profumo	La rosa									- - La luna sorge ; un suo raggio penetra dal fondo _ ) .	VOCE DI DAÃ  RA ( _ che s ' avvicina , a destra , cantando _ ) La rosa gialla come l ' or risplende ; Essa alla pesca il profumo involÃ ² ; SicchÃ ¨ del frutto il desiderio accende , E pesche vuol chi rose gialle amÃ ² ! NABUCO ( _ fra sÃ ¨ , sollevando il volto _ ) E canta Costei ! SCENA VIII DAÃ  RA e NABUCO .	DAÃ  RA ( _ viene dalla destra e fa per attraversare il terrazzo - - Ha un lembo della veste rimboccato , - - Canta .
guit9	olezzi	dei fiori				nella cheta OscuritÃ   notturna					- - Sovente la notte Ad esse ne venia .	- - Oh , come acuti Son gli olezzi dei fiori nella cheta OscuritÃ   notturna ! .	.
guit9	profumi						noi				DAÃ  RA Menti .	Di tuo padre Lasciato avresti invendicato il sangue S ' io sovra gli occhi t ' avessi baciato ! Me volevi colpir ! Me sola ! - - Io sono Della ruina sua l ' artefice ! - - Oh , potesse Ebli soffiare sulla terra , e tutti Struggerne i fiori ed i profumi , e quanto Suade a questa maledetta ebbrezza Che si chiama l ' amore , e in cui , sul capo Che piÃ ¹ adoriam , noi evochiamo , inconsci , Le piÃ ¹ orrende bufere ! ( _ scendendo , a Argiasp _ ) Ed or , m ' ascolta : D ' amarmi un tempo tu dicevi .	.
guit10	odorato			profumiera							Accendete il fuoco che sia a bastanza , lavate i bicchieri , calate giÃ º il giarro e il baccile per dar l ' acqua alle mani , portate la saliera e i salvietti e i cortelli .	Diasi fuoco alla profumiera , ch ' essali il fumo odorato .	Fate che serviate a cenno , chÃ © il cenno Ã ¨ il segno delle taberne ; se non , che voleranno per l ' aria i piatti , e i bicchieri per la testa e su ' volti .
guit10	odore				quello		Io				ALTILIA .	Io non voglio altro odore che quello che spira dai vostri onorati costumi e gentilissime maniere .	GIACOMINO .
guit10	odori	de ' gelsomini	grati								Io fo un dolcissimo banchetto agli occhi miei e godo di quei cibi ch ' ho desiato sÃ ­ longo tempo ; di quei cibi che non producono terra , acqua , aere e cielo .	Veggo che la rosa tanto Ã ¨ bella quanto assomiglia alle vostre gote , e i gigli s ' insuperbiscono della loro candidezza , perchÃ © pompeggiano nelle vostre carni ; i giacinti tanto son riguardevoli quanto rappresentano la sembianza degli occhi vostri , e le perle delle marine conche tanto han di preggio quanto rassembrano i vostri denti ; l ' odori de ' gelsomini tanto son grati quanto rassomigliano al vostro fiato .	O occhi sereni , ove il cielo fa deposito delle sue stelle e dove conserva i suoi splendori ! ALTILIA .
guit11	olezzante|olezzante	di fiori	olezzante|olezzante								Di che ne viene una varietÃ   notevole di materie e di stile .	V ' Ã ¨ l ' idillio a canto all ' ironia , la descrizione olezzante di fiori con la dissertazione polverosa dalle biblioteche , e dialoghi , e apostrofi , e anche visioni .	Qui , un paesaggio e una pittura di costumi ; lÃ ­ , una leggenda feudale e religiosa ; appresso , la storia d ' un convento e la narrazione di una battaglia ; qua un ospizio di frati , lÃ   un monumento romano ; e poi un miracolo , e poi un colloquio di politica .
guit11	odoran	i fiori	forte					dopo un temporale			Anche nello spirito del poeta spagnolo , come nell ' impero di Carlo V , non tramontava mai il sole .	Erano finite le feroci contese coi Mori ; e come dopo un temporale i fiori odoran piÃ º forte , cosÃ ­ la poesia fiorisce sempre piÃ º magnifica dopo una guerra civile .	Lo stesso vediamo essere avvenuto al tempo della regina Elisabetta in Inghilterra , dove contemporanea a quella di Spagna vien su una scuola di poeti che invita ai piÃ º curiosi paragoni .
guit11	odoranti|odoranti	i fiori	odoranti|odoranti								Mentre in altri romanzi , nei quali l ' eroe gira il mondo solo , per far sapere i pensieri e le impressioni di lui , gli scrittori doverono ricorrere ai monologhi alle lettere a un giornale , Cervantes in quella vece potÃ ¨ introdurre per tutto un dialogo naturalissimo ; e dalla continua parodia che l ' una figura fa dei discorsi dell ' altra piÃ º evidente apparisce la intenzione del poeta .	In molte guise fu di poi imitata cotesta doppia figura che dÃ   al libro del Cervantes una cosÃ ­ artistica naturalezza , e da ' cui caratteri , come da germe unico , cresce e svolgesi e si spiega , come un gigantesco albero dell ' India , il romanzo intiero con tutto il suo frondeggiar lussurioso , e i fiori odoranti , e gli splendidi frutti , e le scimmie e gli uccelli che saltano , svolazzano o si cullano su per i rami .	Ma sarebbe ingiustizia mettere a conto dell ' imitazion servile la introduzione o ripetizione di quelle due figure .
guit11	profumi		inebrianti	fra i vapori							CosÃ ­ non poteva durare .	Il romanticismo intanto , come poesia , languiva tisico , per quel suo peccato originale di aver voluto sequestrarsi dal vero e vivere di profumi inebrianti fra i vapori e l ' azzurro di un mondo fantastico , dalle cui cime riguardava con mesto disprezzo le bassure coltivate e abitate , che pur producono il buon pane , il buon vino , il buon manzo , e i dolori e le gioie di tutti i giorni .	Esalata , per estenuazione e rifinimento , l ' anima ; le forme rimasero ciÃ ² che senza anima sono le forme .
guit11	profumati|profumati		profumati|profumati								Un giovine , uno studente , in cui m ' incontrai , mi disse che quello non era il vero Medoro , ma un cagnaccio intrigante , un cane della dimani , che si faceva empiere il ventre e lisciare il pelo a spese della gloria del vero Medoro , mentre questo , dopo la morte del padrone , s ' era modestamente ritirato , come il popolo che avea fatto la rivoluzione .	Adesso il povero Medoro , aggiunse lo studente , erra forse per Parigi , senza un tozzo e senza un giaciglio , come molti eroi di luglio ; perchÃ © il proverbio , che buon cane non trova mai un osso buono , qui in Francia Ã ¨ piÃ º orribilmente vero che altrove : qui si mantengono nei canili caldi e si pascono della carne migliore mute di mastini , di cani da caccia e di altri quadrupedi aristocratici : qui voi vedete riposare su cuscini di seta , ben pettinati e profumati e rimpinzati di biscottini , lo spagnolo e la piccola levriera , che abbaiano contro ogni onest ' uomo , ma che sanno adulare la padrona di casa e sono qualche volta iniziati nei vizi umani .	AhimÃ ¨ , tali bestie vili e immorali prosperano nella nostra societÃ   , mentre ogni cane virtuoso , ogni cane della veritÃ   e della natura , che resta fedele a ' suoi convincimenti , crepa miserabile e tignoso sur un letamaio .
guit11	puzza|odora	di _ sauerkraut|di fiori d ' arancio		zuppa avvelenata							Se anche , il giorno , io mi aggiro fresco e ridente per le vie splendide di Babilonia : credetemelo , non a pena cade la sera , le arpe melanconiche mi risonano in cuore , e tutta notte tutti i tromboni e i cembali del dolore , tutta la musica giannizzera dei patimenti umani vi rintrona dentro ; e ne sale su fuori una orribile e stridente processione di maschere .	Â « Oh che sogni ! sogni di carcere , di miseria , di follÃ ­ a , di morte ! mescuglio stridente d ' insania e di saviezza ! zuppa avvelenata che puzza di _ sauerkraut _ e odora di fiori d ' arancio ! Orribile sensazione , quando i sogni dileggiano la realtÃ   del giorno , e ironiche larve metton fuori il capo dai rossi papaveri ammiccando e facendovi lima lima , e i superbi allori si convertono in ispidi cardi e gli usignoli fanno un sogghigno di scherno ! Â « Per il solito ne ' miei sogni io mi siedo sul pilastro angolare al canto di via Laffitte in un ' umida sera di autunno , quando la luna gitta lunghe strisce di luce su ' l sudicio lastrico , sÃ ­ che la mota sembra dorata se non pur seminata qua e lÃ   di diamanti che scintillano .	Gli uomini che passano sono della stessa guisa , mota che risplende : sensali di fondi pubblici , giocatori al rialzo , monetari falsi del pensiero , scribi a buon mercato , e ragazze anche a miglior mercato , le quali per veritÃ   devono mentire soltanto col corpo , pance oziose che si rimpinzano nel caffÃ ¨ di Parigi e poi si precipitano all ' Accademia di musica , alla cattedrale del vizio , ove Fanny Essler danza e sorride .
