Branch,File Name,Image ID,Artist,Title,Iconography,Part,Earliest Date,Latest Date,Margin Years,Genre,Material,Medium,Height of Image Field,Width of Image Field,Type of Object,Height of Object,Width of Object,Diameter of Object,Position of Depiction on Object,Current Location,Repository Number,Original Location,Original Place,Original Position,Context,Place of Discovery,Place of Manufacture,Associated Scenes,Object Categories,Related Works of Art,Type of Similarity,Inscription,Text Source,Bibliography,Photo Archive,Image Credits,Details URL,Additional Information,Iconclass code,License,Iconclass code,Description,Keywords,Language
ArtHist,Joconde_ii_0110794.jpg,,"AVISSE Paul Alexandre , manufacture de Sèvres",Théière,theiere,,1850,1899,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2724 ; Tiroir B2 / Formes XVIIIe - services / Dossier croquis pour les théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042501/0110794.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042501,,,,,1906 correspond à la date d'inscription sur l'inventaire,,
ArtHist,Joconde_ii_0110586.jpg,,"AVISSE Paul Alexandre , manufacture de Sèvres",Théière,theiere,,1850,1899,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2732 ; Tiroir B2 / Formes XVIIIe - services / Dossier croquis pour les théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042509/0110586.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042509,,,,,1906 correspond à la date d'inscription sur l'inventaire,,
ArtHist,Joconde_ii_0110281.jpg,,manufacture de Sèvres,Théière,theiere,,1800,1899,,dessin,"graphite, plume, encre, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2433 ; Tiroir B1 / XIXe / Fabrication. Pièces services diverses / Dossier théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190041343/0110281.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190041343,,,,,,,
ArtHist,Joconde_ii_0035656.jpg,,manufacture de Sèvres,Théière persane,theiere,,1825,1849,,dessin,"graphite, plume, encre, gouache, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.853 ; Section D.S.3.1848.N°35 (Ancien numéro) ; Armoire R / Tiroir R3 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190031673/0035656.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190031673,"Décoration en or et coloris sur la partie gauche du dessin : frises sur fond rouge ou bleu de rinceaux, palmettes et soleils; bec doré en forme de dragon; aigles aux extrémités de l'an dorée; Décoration d'une théière persane exécutée vers 1840",,,,,,
ArtHist,Joconde_ii_0035672.jpg,,"REGNIER Hyacinthe , manufacture de Sèvres",Théière Régnier,theiere,,1800,1899,,dessin,"graphite, plume, encre, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.897 ; Section D.S.3.1813.N°19 (Ancien numéro) ; Armoire R / Tiroir R4 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190031757/0035672.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190031757,Décor en grisaille d'une théière; Théière du déjeuner Régnier,,,,,,
ArtHist,Joconde_ii_0036188.jpg,,"BODSON , manufacture de Sèvres",Théière Pestum,theiere,,1800,1899,,dessin,"graphite, gouache, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.1365 ; Section D.S.3.1815.N°9 (Ancien numéro) ; Armoire R / Tiroir R4 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032406/0036188.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032406,"Décoration en coloris : grecques sur le couvercle; motifs de grotesque et signum romain; anse, bec et pied dorés; Théière",,,,,,
ArtHist,Joconde_ii_0110459.jpg,,manufacture de Sèvres,Théière Asselin,theiere,,1800,1899,,dessin,"graphite, plume, encre, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2418 ; Tiroir B1 / XIXe / Fabrication. Pièces services diverses / Dossier théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190041328/0110459.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190041328,,,,,,,
ArtHist,Joconde_ii_0110241.jpg,,manufacture de Sèvres,Théière bouilloire,theiere,,1800,1899,,dessin,"plume, encre, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2419 ; Tiroir B1 / XIXe / Fabrication. Pièces services diverses / Dossier théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190041329/0110241.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190041329,,,,,,,
ArtHist,Joconde_ii_0110331.jpg,,manufacture de Sèvres,Théière oeuf,theiere,,1800,1899,,dessin,"graphite, plume, encre, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2431 ; Tiroir B1 / XIXe / Fabrication. Pièces services diverses / Dossier théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190041341/0110331.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190041341,,,,,,,
ArtHist,Joconde_ii_0041575.jpg,,manufacture de Sèvres,Théière lizonnée,theiere,,1750,1774,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.209.1,,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190029401/0041575.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190029401,"Dessin comporte deux vues : la première est une vue en coupe d'une théière arrondie à pied mouluré et légèrement concave., couvercle assez plat, bec simple et anse arrondie , la seconde est une vue en plan représentant les huit lobes",,,,,,
ArtHist,Joconde_ii_0110417.jpg,,manufacture de Sèvres,Théière oeuf,theiere,,1800,1899,,dessin,"graphite, plume, encre, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2430 ; Tiroir B1 / XIXe / Fabrication. Pièces services diverses / Dossier théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190041340/0110417.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190041340,,,,,,,
ArtHist,Joconde_ii_0039129.jpg,,"REGNIER Hyacinthe , manufacture de Sèvres",Théière Régnier,theiere,,1825,1849,,dessin,"graphite, gouache, lavis, plume, encre, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.1755 ; Armoire R / Tiroir R5 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032932/0039129.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032932,,,,,"Forme et décoration en coloris et dorure d'une théière aà huit pans : petites fleurs sur fond bleau au col ; sur le pan central du corps, marque en coloris sur un médaillon trilobé et ajouré ; sur les autrs pans ;",,
ArtHist,Joconde_ii_0036197.jpg,,"ASSELIN Charles Eloi , ASSELIN Père (dit) , manufacture de Sèvres",Théière Asselin,theiere,,1800,1899,,dessin,"graphite, gouache, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.1374 ; Section D.S.3.1804.N°2 (Ancien numéro) ; Armoire R / Tiroir R4 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032415/0036197.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032415,"Décoration en coloris sur fond ocre d'une théière : frise de dauphins et flèches au col; cartel ovale avec, à l'intérieur, figure féminine tenant une branche et cigogne tenant dans son bec une guirlande; ornements rouges et dorés sur le bec et sur l'anse; Théière en coloris",,,,,,
ArtHist,Joconde_ii_0037065.jpg,,"PEYRE Jules Constant , manufacture de Sèvres",Théière Peyre,theiere,,1825,1849,,dessin,"graphite, papier cartonné",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.876 ; Section D.S.3.1844.N°1 (Ancien numéro) ; Armoire R / Tiroir R3 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190031696/0037065.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190031696,"Forme et décor réalisés pour le Déjeuner Peyre, à décor de rinceaux bleus; Décoration de théière du service de déjeuner Peyre",,,,,,
ArtHist,Joconde_ii_0110450.jpg,,manufacture de Sèvres,Théière oeuf,theiere,,1800,1899,,dessin,"graphite, plume, encre, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2429 ; Tiroir B1 / XIXe / Fabrication. Pièces services diverses / Dossier théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190041339/0110450.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190041339,,,,,,,
ArtHist,Joconde_ii_0110687.jpg,,manufacture de Sèvres,Théière Pestum,theiere,,1825,1849,,dessin,"graphite, plume, encre, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2878 ; Tiroir B2 / Formes XVIIIe - services / Dossier service Pestum-archives (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042658/0110687.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042658,,,,,,,
ArtHist,Joconde_ii_0041580.jpg,,manufacture de Sèvres,Théière Verdun,theiere,,1750,1774,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.210.3,,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190029407/0041580.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190029407,Dessin de théière dont la forme est à rapprocher du précédent (2011.3.210.3),,,,,,
ArtHist,Joconde_ii_0035675.jpg,,"FRAGONARD Alexandre Evariste , manufacture de Sèvres",Théière chinoise,theiere,,1800,1899,,dessin,"graphite, gouache, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.900 ; Section D.S.3.1818.N°9 (Ancien numéro) ; Armoire R / Tiroir R4 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190031760/0035675.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190031760,Théière chinoise,,,,,,
ArtHist,Joconde_ii_0036184.jpg,,"BODSON , manufacture de Sèvres",Théière Asselin,theiere,,1800,1899,,dessin,"graphite, gouache, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.1361 ; Section D.S.3.1813.N°5 (Ancien numéro) ; Armoire R / Tiroir R4 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032402/0036184.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032402,"Décoration en coloris sur le couvercle, couronnes de feuilles et rosaces au centre, filets d'or et bouton doré; cartel circulaire à portrait en manière de camée et, feuilles d'eau et tulipe sur le culot; filets d'or sur l'épaule et au culot; anse, bec et pied dorés",,,,,,
ArtHist,Joconde_ii_0036191.jpg,,manufacture de Sèvres,Théière ovale,theiere,,1800,1899,,dessin,"graphite, plume, encre, gouache, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.1368 ; Section D.S.3.1816.N°11 (Ancien numéro) ; Armoire R / Tiroir R4 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032409/0036191.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032409,"Décoration en dorure et coloris : étoiles dans des couronnes de lauriers sur l'épaule , et guirlande de feuillage sur la panse; bec de dragon et anse tête de dragon, et couvercle dorés; Théière",,,,,,
ArtHist,Joconde_ii_0041583.jpg,,manufacture de Sèvres,Théière Hébert,theiere,,1750,1774,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.211.2,,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190029410/0041583.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190029410,Vue en coupe avec bec simple et anse double enroulée et attache supérieure à feuilles,,,,,,
ArtHist,Joconde_ii_0036199.jpg,,"COURBLON , manufacture de Sèvres",Théière étrusque,theiere,,1800,1899,,dessin,"graphite, plume, encre, gouache, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.1375 ; Section D.S.3.1808.N°5 (Ancien numéro) ; Armoire R / Tiroir R4 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032416/0036199.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032416,Décoration en rouge sur fond noir d'ornements à l'antique : frise de palmettes sur le col et le culot; lyre et sistre sur la panse; Théière Etrusque,,,,,,
ArtHist,Joconde_ii_0036189.jpg,,"FRAGONARD Alexandre Evariste , manufacture de Sèvres",Théière ronde Fragonard,theiere,,1800,1899,,dessin,"graphite, gouache, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.1366 ; Section D.S.3.1816.N°4 (Ancien numéro) ; Armoire R / Tiroir R4 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032407/0036189.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032407,"Forme et décor en dorure d'une théière; couvercle à bords godronnés et bouton à deux têtes; anse recourbée en palmette; panse godronnée, bec doré en forme d'oiseau; en haut, autre angle de vue du bouton de couvercle; Théière",,,,,,
ArtHist,Joconde_ii_0109888.jpg,,manufacture de Sèvres,Théière déjeuner d'enfant,theiere,,1825,1849,,dessin,"graphite, plume, encre, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2026 ; Tiroir B1 / XIXe / Fabrication. Pièces services diverses / Dossier déjeuner d'enfants (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190040928/0109888.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190040928,,,,,,,
ArtHist,Joconde_ii_0110351.jpg,,manufacture de Sèvres,Théière litron Fragonard,theiere,,1800,1899,,dessin,"graphite, plume, encre, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2427 ; Tiroir B1 / XIXe / Fabrication. Pièces services diverses / Dossier théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190041337/0110351.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190041337,,,,,,,
ArtHist,Joconde_ii_0110300.jpg,,manufacture de Sèvres,Théière et tasse,theiere,,1825,1849,,dessin,"graphite, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2440 ; Tiroir B1 / XIXe / Fabrication. Pièces services diverses / Dossier théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190041350/0110300.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190041350,,,,,,,
ArtHist,Joconde_ii_0110442.jpg,,manufacture de Sèvres,Théière et tasse,theiere,,1825,1849,,dessin,"graphite, plume, encre, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2441 ; Tiroir B1 / XIXe / Fabrication. Pièces services diverses / Dossier théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190041351/0110442.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190041351,,,,,,,
ArtHist,Joconde_ii_0110372.jpg,,manufacture de Sèvres,Théière Wedgwood godronnée,theiere,,1825,1849,,dessin,"graphite, plume, encre, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2434 ; Tiroir B1 / XIXe / Fabrication. Pièces services diverses / Dossier théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190041344/0110372.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190041344,,,,,,,
ArtHist,Joconde_ii_0110257.jpg,,manufacture de Sèvres,Théière Wedgwood godronnée,theiere,,1825,1849,,dessin,"graphite, plume, encre, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2436 ; Tiroir B1 / XIXe / Fabrication. Pièces services diverses / Dossier théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190041346/0110257.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190041346,,,,,,,
ArtHist,Joconde_ii_0110611.jpg,,manufacture de Sèvres,Théière litron Fragonard,theiere,,1800,1899,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2886 ; Tiroir B2 / Formes XVIIIe - services / Dossier Fragonard (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042666/0110611.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042666,,,,,,,
ArtHist,Joconde_ii_0036295.jpg,,"REGNIER Hyacinthe , manufacture de Sèvres",Théière chinoise réticulée,theiere,,1825,1849,,dessin,"graphite, gouache, lavis, plume, encre, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.1484 ; Section D.S.3.1832.N°8 (Ancien numéro) ; Armoire R / Tiroir R5 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032606/0036295.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032606,Décoration de théière chinoise à grillage ou réticulé,,,,,,
ArtHist,Joconde_ii_0118290.jpg,,ANONYME (dessinateur),Théière ; Dessin d'orfèvrerie,theiere,,1725,1749,,"dessin, arts décoratifs, orfèvrerie","papier vergé, plume, encre, lavis",,,,,,,,,Strasbourg ; cabinet des estampes et des dessins,MAD LXV.50 ; MAD LXV.96 av (Numéro erroné),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/00130124206/0118290.jpg,https://www.pop.culture.gouv.fr/notice/joconde/00130124206,,,,,"Plume, encre et lavis sur papier vergé ; Dessin. Théière Louis XV. Corps galbé. Canaux tournants. Anse à feuillage.",,
ArtHist,Joconde_ii_0036123.jpg,,"PEYRE Jules Constant , manufacture de Sèvres",Théière Dimère réticulé,theiere,,1825,1849,,dessin,"graphite, papier cartonné",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.855 ; Section D.S.3.1846.N°1 (Ancien numéro) ; Armoire R / Tiroir R3 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190031675/0036123.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190031675,Théière réticulée pour un déjeuner Dimère,,,,,,
ArtHist,Joconde_ii_0039121.jpg,,"FRAGONARD Alexandre Evariste , manufacture de Sèvres",Théière campanienne Fragonard,theiere,,1825,1849,,dessin,"graphite, gouache, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.1723 ; Section D.S.3.1825.N°2 (Ancien numéro) ; Armoire R / Tiroir R5 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032899/0039121.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032899,,,,,"Théière Campanienne ; Forme et décoration en dorure d'une théière campanienne : petites fleurs au col ; grandes palmettes dans des arcatures et frise de grecques sur la panse ; grandes feuilles d'eau sur le culot , pied et anse dorés",,
