Smell_Word	Smell_Source	Odour_Carrier	Perceiver	Quality	Effect	Evoked_Odorant	Creator	Circumstances	Location	Time	Title	Annotator
qu'elles				desplaisantes	tuer l'homme auec plusieurs autres animaux | offensent le cerueau						105F Les Principes de Nature.txt	annotator14.tsv
l'odorat											105F Les Principes de Nature.txt	annotator14.tsv
odeurs				mauuaises							105F Les Principes de Nature.txt	annotator14.tsv
l'odeur	roses | pommes		plusieurs hommes | les femmes								105F Les Principes de Nature.txt	annotator14.tsv
d'odeurs											105F Les Principes de Nature.txt	annotator14.tsv
qu'odeur				simple							105F Les Principes de Nature.txt	annotator14.tsv
olfactile	élément		Nous	agréable | désagréable							105F Les Principes de Nature.txt	annotator14.tsv
odeurs			nous	composées							105F Les Principes de Nature.txt	annotator14.tsv
autres	huiles etherées | la		autres	agreable							105F Les Principes de Nature.txt	annotator14.tsv
la	souffres crasses		autres	des-agreable							105F Les Principes de Nature.txt	annotator14.tsv
odeurs				agreables							105F Les Principes de Nature.txt	annotator14.tsv
odeur				simple | agreable							105F Les Principes de Nature.txt	annotator14.tsv
odeurs	elemens purs & simples										105F Les Principes de Nature.txt	annotator14.tsv
odeur				agreable							105F Les Principes de Nature.txt	annotator14.tsv
l'odeur				ingrate							105F Les Principes de Nature.txt	annotator14.tsv
odeurs				mauuaises							105F Les Principes de Nature.txt	annotator14.tsv
odeurs				def-agreables							105F Les Principes de Nature.txt	annotator14.tsv
odeur	terre			aucune							105F Les Principes de Nature.txt	annotator14.tsv
l'odeur	terre			volatilt							105F Les Principes de Nature.txt	annotator14.tsv
odorat											105F Les Principes de Nature.txt	annotator14.tsv
odeurs	simples elemens			simples							105F Les Principes de Nature.txt	annotator14.tsv
odeurs	principe pur & simple de l'huile			agreables							105F Les Principes de Nature.txt	annotator14.tsv
l'odeur				agreable							105F Les Principes de Nature.txt	annotator14.tsv
odeur	mixtion			simple | ingrate							105F Les Principes de Nature.txt	annotator14.tsv
odeur											105F Les Principes de Nature.txt	annotator14.tsv
odeur	elemens | principes			aucune							105F Les Principes de Nature.txt	annotator14.tsv
odeur	souffre										105F Les Principes de Nature.txt	annotator14.tsv
odeur				agreable							105F Les Principes de Nature.txt	annotator14.tsv
odeurs				diuerses							105F Les Principes de Nature.txt	annotator14.tsv
odeurs				agreables							105F Les Principes de Nature.txt	annotator14.tsv
odeurs				diuerses							105F Les Principes de Nature.txt	annotator14.tsv
l'odeur	meslange			composée | desagreable | ingràte							105F Les Principes de Nature.txt	annotator14.tsv
odeur	l'esprit ou clement acide			ingrate | forte							105F Les Principes de Nature.txt	annotator14.tsv
odeurs	substances volatiles ou volatilisées			mauuaises | bonnes							105F Les Principes de Nature.txt	annotator14.tsv
odeur	souffte	esprit	jeune Chymiste	ingrate							105F Les Principes de Nature.txt	annotator14.tsv
odeur	esprit			sans							105F Les Principes de Nature.txt	annotator14.tsv
odeur											105F Les Principes de Nature.txt	annotator14.tsv
fœfide	souffre	il		fœfide | ingrat							105F Les Principes de Nature.txt	annotator14.tsv
puanteur	il			ingrate							105F Les Principes de Nature.txt	annotator14.tsv
odeur	l'esprit			san odeur forte & ingrate						tousiours	105F Les Principes de Nature.txt	annotator14.tsv
odeur				bonne							105F Les Principes de Nature.txt	annotator14.tsv
odeur											105F Les Principes de Nature.txt	annotator14.tsv
odeurs	meslange des elemens			agreables							105F Les Principes de Nature.txt	annotator14.tsv
l'odorat											105F Les Principes de Nature.txt	annotator14.tsv
odeurs											105F Les Principes de Nature.txt	annotator14.tsv
odorat											105F Les Principes de Nature.txt	annotator14.tsv
l'odorat	elle			puanteur | ingratitude							105F Les Principes de Nature.txt	annotator14.tsv
odeur	l'eau		nous	sans							105F Les Principes de Nature.txt	annotator14.tsv
odeur	sel			bonne ou mauuaife							105F Les Principes de Nature.txt	annotator14.tsv
odorat	terre		nostre	bon ou mauuais							105F Les Principes de Nature.txt	annotator14.tsv
odorans				mal							105F Les Principes de Nature.txt	annotator14.tsv
odeur	mixtion des volatils auec les fixes										105F Les Principes de Nature.txt	annotator14.tsv
odeur	y | esprit			ingrate | forte				si on efleue & volatilize			105F Les Principes de Nature.txt	annotator14.tsv
odeur	y | huile elementaire			plus ou moins agreable ou des-agreable				si on y melle vne huile elementaire auec deue proportion			105F Les Principes de Nature.txt	annotator14.tsv
odeurs	huile | esprit										105F Les Principes de Nature.txt	annotator14.tsv
odeurs											105F Les Principes de Nature.txt	annotator14.tsv
odeurs											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
l'odorat											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odorant											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeurs											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeurs											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeur											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odorantes											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeurs											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
émanations											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeur											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
exhalent											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeurs											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
inodore											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeur											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odorans											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
parfumeur											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeurs											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeurs											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeurs											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeur											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
l'odeur											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
celle											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
mets											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
l'odeur											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
exhale											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeurs											050F 1799 Joseph Benigne Reflexions sur les odeurs.txt	annotator14.tsv
odeur			Les gens de la Ville	grande					l'Eglise		005F Anonymous 1711  La vie des trois Maries.txt	annotator18.tsv
odeur				grande							005F Anonymous 1711  La vie des trois Maries.txt	annotator18.tsv
odeur											005F Anonymous 1711  La vie des trois Maries.txt	annotator18.tsv
odeur	elles		les auteurs des mémoires		l'avoir cru qu'après avoir été d'une opinion absolument contraire	violette					026F Tessier 1772 Institut national des sciences et arts.txt	annotator14.tsv
odeur				suave							026F Tessier 1772 Institut national des sciences et arts.txt	annotator14.tsv
fétidité	matière fécale molle | la poudrette du citoyen Bride		Nous								026F Tessier 1772 Institut national des sciences et arts.txt	annotator14.tsv
odeur	la poudrette du citoyen Bride			agréable							026F Tessier 1772 Institut national des sciences et arts.txt	annotator14.tsv
odeur	galettes de poudrette des Chinois					de violette					026F Tessier 1772 Institut national des sciences et arts.txt	annotator18.tsv
odeur				suave							026F Tessier 1772 Institut national des sciences et arts.txt	annotator18.tsv
odeur	la poudrette du citoyen Bride			agréable		la fétidité dé la matière fécale molle					026F Tessier 1772 Institut national des sciences et arts.txt	annotator18.tsv
aromatiques	plantes | thym		nous						mont Hymette		079F Barthelemy_Voyage.txt	annotator14.tsv
odeur	vins			douce		fleurs			les cinq collines , à sept stades de Sparte | Laconie		084F Barthelemy_Voyage.txt	annotator14.tsv
exhale											084F Barthelemy_Voyage.txt	annotator18.tsv
odeur				douce		aussi douce que celle des fleurs					084F Barthelemy_Voyage.txt	annotator18.tsv
odeur											090F Beaumont_Clarice.txt	annotator14.tsv
odeur											090F Beaumont_Clarice.txt	annotator14.tsv
aromates	casse | myrrhe | cinnamome | canne										031F Voltaire 1776 La Bible enfin expliquee.txt	annotator14.tsv
parfumeur	huile sainte										031F Voltaire 1776 La Bible enfin expliquee.txt	annotator14.tsv
aromates	l'odeur										031F Voltaire 1776 La Bible enfin expliquee.txt	annotator14.tsv
l'odeur	stacté | l'onyx | galbanum | l'encens		Tout homme qui en fera de semblables								031F Voltaire 1776 La Bible enfin expliquee.txt	annotator14.tsv
l'odeur											031F Voltaire 1776 La Bible enfin expliquee.txt	annotator18.tsv
odoriférants											094F Beckford_Vathek.txt	annotator14.tsv
l'odorat											094F Beckford_Vathek.txt	annotator14.tsv
embaumaient											094F Beckford_Vathek.txt	annotator14.tsv
parfums											094F Beckford_Vathek.txt	annotator14.tsv
l'odorat	nectar								sanctuaire de Cypris		066F Anonyme_Zoloe.txt	annotator14.tsv
l'odorat	nectar				qui embaumait						066F Anonyme_Zoloe.txt	annotator18.tsv
odeur	MÉLISSE			forte | pénétrante | aromatique		Citron					053F 1755 Polycarpe Poncylet Chimie du gout et de lodorat.txt	annotator14.tsv
aromatique	elles										053F 1755 Polycarpe Poncylet Chimie du gout et de lodorat.txt	annotator14.tsv
odeur	elles			aromatique | pénétrante							053F 1755 Polycarpe Poncylet Chimie du gout et de lodorat.txt	annotator14.tsv
odorante	MYRRHE										053F 1755 Polycarpe Poncylet Chimie du gout et de lodorat.txt	annotator14.tsv
odorante	MYRRHE							séche			053F 1755 Polycarpe Poncylet Chimie du gout et de lodorat.txt	annotator14.tsv
odeur	MÉLISSE			forte | pénétrante | aromatique		l'odeur du Citron					053F 1755 Polycarpe Poncylet Chimie du gout et de lodorat.txt	annotator18.tsv
odeur	racines			pénétrante | aromatique							053F 1755 Polycarpe Poncylet Chimie du gout et de lodorat.txt	annotator18.tsv
odorante	MYRRHE										053F 1755 Polycarpe Poncylet Chimie du gout et de lodorat.txt	annotator18.tsv
odorante	La séche										053F 1755 Polycarpe Poncylet Chimie du gout et de lodorat.txt	annotator18.tsv
parfum	sueur de l'aisselle | certains acides libres | caproates . alcalins | valérates			sui generis							102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
odeur								lorsqu'une odeur se rapproche de celle de quelque principe particulier			102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
l'odeur	sueur axillaire					bouc		chez les gens malpropres			102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
puanteur	aisselles | s'exhalent | odeur										102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
s'exhalent											102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
odeur		d'espaule de mouton		mauvaise		bouquin					102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
odeur				aromatique		acidulé | chloroformée		aux époques menstruelles			102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
l'odeur				Fade | aromatique		marée | d'écrevisse cuite					102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
odeur	smegma			aigre | fétide				Lorsque le smegma est accumulé			102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
odorantes	sueurs localisées										102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
odeur				forte							102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
exhale	territoire cutané correspondant							dans les lésions des nerfs			102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
senteur	exhale					l'eau croupie					102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
odorants	leurs										102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
l'odeur	cutanée										102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
odeur	peau | leur			modifiée							102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
senteur	peau										102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
l'odeur	hydrosulfurée | sueur										102F 1886 Ernest Monin Essai sur les odeurs du corps.txt	annotator14.tsv
parfums			gens riches							A toutes les heures du jour	033F Raynal 1776 Histoire Philosophique et Politque.txt	annotator14.tsv
parfumée	bétel	bouche									033F Raynal 1776 Histoire Philosophique et Politque.txt	annotator14.tsv
odeur		bouche		désagréable	mettre sa main devant sa bouche			Si quelqu'un se présente par hasard sans avoir mâché du bétel	aux Indes		033F Raynal 1776 Histoire Philosophique et Politque.txt	annotator14.tsv
odeur				désagréable							033F Raynal 1776 Histoire Philosophique et Politque.txt	annotator18.tsv
empoisonné		air		empoisonné							091F Beaumont_Clarice.txt	annotator14.tsv
fumier				infect							091F Beaumont_Clarice.txt	annotator14.tsv
exhalaisons	c'estàdire , d'un trou où se ramassent les eaux de pluies | fumier		Nous	pestillentielles	des maladies qui dévastent les campagnes			en venant ici	chez ces infortunés		091F Beaumont_Clarice.txt	annotator14.tsv
parfum				acre | puant | intolérable | suffocant					du fond de la caverne		098F 1877 A monsieur le president.txt	annotator14.tsv
odeur	corps odoriférant					autre corps odoriférant		mémoire	l'odorat		060F 1754 Etienne Bonnot de Condillac Traite des sensations.txt	annotator14.tsv
l'odorat											060F 1754 Etienne Bonnot de Condillac Traite des sensations.txt	annotator14.tsv
odeur											060F 1754 Etienne Bonnot de Condillac Traite des sensations.txt	annotator18.tsv
odeur											060F 1754 Etienne Bonnot de Condillac Traite des sensations.txt	annotator18.tsv
odeur	cétte plante			aromatique | très forte							018F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator14.tsv
odeur aromatique	Chaque partie de cétte plante			très forte | capiteuse | âcre							018F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator18.tsv
ils	ils										029F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
vapeur plus ou moins arometique	exhale | ils	l'air	malades		désordres dans économie animale | masquer les mauvaises odeurs			Quand ils lie font que se charbonner			029F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
exhale											029F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
odeurs				mauvaises							029F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
parfums											029F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
aromatiques	fumigations										029F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
odoriférans	bois										029F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
odeurs				infectes					Dans plusieurs hôpitaux		029F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
miasmes				putrides					Dans plusieurs hôpitaux		029F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
parfums					rendre encore pins sensible l'odeur infecte				Dans plusieurs hôpitaux		029F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
l'odeur				sensible | infecte							029F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
parfums											029F Ministere 1794 Instruction sur les moyen.txt	annotator18.tsv
arometique	vapeur										029F Ministere 1794 Instruction sur les moyen.txt	annotator18.tsv
exhale											029F Ministere 1794 Instruction sur les moyen.txt	annotator18.tsv
odeurs				mauvaises							029F Ministere 1794 Instruction sur les moyen.txt	annotator18.tsv
parfums											029F Ministere 1794 Instruction sur les moyen.txt	annotator18.tsv
odoriférans	bois			pestilentiels							029F Ministere 1794 Instruction sur les moyen.txt	annotator18.tsv
odeurs				infectes							029F Ministere 1794 Instruction sur les moyen.txt	annotator18.tsv
l'odeur	parfums			infecte							029F Ministere 1794 Instruction sur les moyen.txt	annotator18.tsv
putride	maladie								les salles ou plusieurs malades		030F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
miasmes				dangerreux					les salles ou plusieurs malades	tous les jours	030F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
arometiques	fumigations			dangereuses | inutiles						toutes les fois qu'il sera jugé nécessaire parles Officiers de Santé	030F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
miasmes				putrides							030F Ministere 1794 Instruction sur les moyen.txt	annotator14.tsv
arometiques	fumigations										030F Ministere 1794 Instruction sur les moyen.txt	annotator18.tsv
parfums											083F Barthelemy_Voyage.txt	annotator14.tsv
parfums			Philippe						Macédoine		083F Barthelemy_Voyage.txt	annotator18.tsv
exhalent	ils							le traitement le plus simple et le plus économique à employer | Gale simple	A CALAIS		0022F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator14.tsv
plus ou moins in - tenue				plus ou moins in - tenue | exhalent | qui							0022F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator14.tsv
qui					décele l'existence de cette contagion						0022F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator14.tsv
d'odeur	décoctions de - plantes acres			peu ou point							0022F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator14.tsv
odeur	corps graisseux			plus ou moins in - tenue					CALAIS		0022F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator18.tsv
odeur	son		je								068F Arnaud_Matinees.txt	annotator14.tsv
odeur	fleur										068F Arnaud_Matinees.txt	annotator18.tsv
parfum	thym | romarin | plantes								collines		078F Barthelemy_Voyage.txt	annotator14.tsv
parfum											078F Barthelemy_Voyage.txt	annotator18.tsv
parfum					nettoyer & parfumer		Parfumeurs		maisons		111F Ordonnance.txt	annotator14.tsv
parfum		cordes | perches									111F Ordonnance.txt	annotator14.tsv
parfum											111F Ordonnance.txt	annotator14.tsv
parfum		foin					Parfumeur				111F Ordonnance.txt	annotator14.tsv
parfum											111F Ordonnance.txt	annotator14.tsv
parfum							Parfumeur		chambre		111F Ordonnance.txt	annotator14.tsv
parfum											111F Ordonnance.txt	annotator14.tsv
parfum											111F Ordonnance.txt	annotator14.tsv
parfumées									maisons		111F Ordonnance.txt	annotator14.tsv
parfum									maison	deux jours après	111F Ordonnance.txt	annotator14.tsv
Soulfre	Soulfre | Poix rafine | Son | Zingembre | Euphorbe | Cumin | Assa fetida | Litige | Sinabre | Orpiment | Antimoine								dans vne chambre | parfum		111F Ordonnance.txt	annotator14.tsv
parfum											111F Ordonnance.txt	annotator14.tsv
parfum	Son | Geroffle | Ladanum | Iris de Florence | Anis | Muflade | Canelle | Myrrhe | Storax | Benjoin | Encens	personnes de condition						quand ils craignent avoir frequenté quelques personnes infctées			111F Ordonnance.txt	annotator14.tsv
parfumer											111F Ordonnance.txt	annotator14.tsv
parfum											111F Ordonnance.txt	annotator14.tsv
PARFUM											063F 1857 Charles Baudelaire Les fleurs du mal.txt	annotator14.tsv
respiré	grain d'encens | musc	sachet	Lecteur						église	quelquefois	063F 1857 Charles Baudelaire Les fleurs du mal.txt	annotator14.tsv
senteur				sauvage | fauve							063F 1857 Charles Baudelaire Les fleurs du mal.txt	annotator14.tsv
parfum	fourrure | mousseline ou velours | habits										063F 1857 Charles Baudelaire Les fleurs du mal.txt	annotator14.tsv
grain d'encens	musc								église		063F 1857 Charles Baudelaire Les fleurs du mal.txt	annotator18.tsv
senteur	ses cheveux			sauvage et fauve							063F 1857 Charles Baudelaire Les fleurs du mal.txt	annotator18.tsv
parfum	habits					de fourrure					063F 1857 Charles Baudelaire Les fleurs du mal.txt	annotator18.tsv
parfume	Cyprès	l'atmosphère								dans cette saison	0019F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator14.tsv
exhalaisons	Cyprès			aromatiques							0019F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator14.tsv
odorant	Cyprès | bois										0019F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator14.tsv
fleurs	Cyprès										0019F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator18.tsv
exhalaisons aromatiques	Cyprès								l'atmosphère		0019F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator18.tsv
odorant	Cyprès										0019F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator18.tsv
puant	ruisseau			puant					Au milieu de la vallée de Montmorencì | étang de Montmorencì		103F Memoire.txt	annotator14.tsv
odeur	cette eau			fétide							103F Memoire.txt	annotator14.tsv
d'odeur	l'eau			n'a plus							103F Memoire.txt	annotator14.tsv
odeur	l'eau			mauvaise				si on remêle exactement ce dépôt èn agitant la bouteille			103F Memoire.txt	annotator14.tsv
odeur	son	bouteilles	j'avois								103F Memoire.txt	annotator14.tsv
l'odeur	l'eau		lui	très-forte | très-fétide		foie de soufre					103F Memoire.txt	annotator14.tsv
l'oaeur	l'eau		je			matière végétale & animale en putréfaction					103F Memoire.txt	annotator14.tsv
odeur	combinaison sulfureuse | foie de soufre terreux	l'eau	M . Macquer								103F Memoire.txt	annotator14.tsv
l'odeur	substances en putréfaction			différente		foie de soufre					103F Memoire.txt	annotator14.tsv
odeur	matières putréfiées			mauvaise							103F Memoire.txt	annotator14.tsv
l'odeur	foie de soufre										103F Memoire.txt	annotator14.tsv
odeur	matières putrides	son		mauvaise							103F Memoire.txt	annotator14.tsv
odeur	son										103F Memoire.txt	annotator14.tsv
odeur	son	bouteille								très-long-temps	103F Memoire.txt	annotator14.tsv
odeur	cette eau	une	je	diminuée						pendant deux mois | 18 Août 1768 | 30 Juillet 1770	103F Memoire.txt	annotator14.tsv
odeur	l'eau	une		perdu						30 Juillet 1770	103F Memoire.txt	annotator14.tsv
odeur	fumée			légère		soufre | corne brûlée					103F Memoire.txt	annotator14.tsv
odeur	l'eau de Montmorenci | foie de soufre terreux			semblable		l'eau de Montmorencì					103F Memoire.txt	annotator14.tsv
l'odeur	l'eau de Montmorenci			détruit						aussitôt	103F Memoire.txt	annotator14.tsv
odeur	elle			perdu						pendant vingt-quatre heures	103F Memoire.txt	annotator14.tsv
odeurs	ces deux eaux							ayant mêlé | par l'exposition à l'air			103F Memoire.txt	annotator14.tsv
