Book	Smell_Word	Smell_Source	Quality	Odour_Carrier	Evoked_Odorant	Location	Perceiver	Time	Circumstances	Effect	SentenceBefore	Sentence	SentenceAfter
bibbleue1033	odeurs	Fleurs									Que si vous me demandez encore de cellescy , qu ’ elles sont preferables aux autres , la même reponse que je viens de fairre , pourra servir .	Catalogue des Fleurs des meilleurs odeurs .	AUricules .
bibbleue1033	odorant|odorant	Satyrium	odorant|odorant								Safran commun .	Satyrium odorant .	Syringa .
bibbleue1033	Odoriferentes	Herbes									Violier musqué double .	Des Herbes Odoriferentes .	LA difference qu ’ il y à entre les fleurs de bonne odeur & les Plantes odoriferentes , est que ce les - cy sentent bon en toutes leurs partie , fleurs feüilles , branches , tiges , & racines , où celles - la ne sentent bon qu ’ en leurs fleurs , & même , ce qui est de plus remarquable , est qu ’ il y en à de telles dont le reste de la Plante est de tres mauvaise odeur ; comme le Sureau & le Datura à fleur double , dons les fleurs sont de tres bonne odeurs mais les feüilles & tiges sout si puantes , qu ’ elles font mal au coeur , & blessent le cerveau .
bibbleue1033	odeur|odoriferentes|odoriferentes|sentent|odeur|odeurs|puantes|puantes	fleurs|Plantes|fleurs|racines|fleurs|Sureau|Datura|fleurs|feüilles	bonne|odoriferentes|odoriferentes|bon|bon|tres mauvaise|tres bonne|puantes|puantes							font mal au coeur|blessent le cerveau	Des Herbes Odoriferentes .	LA difference qu ’ il y à entre les fleurs de bonne odeur & les Plantes odoriferentes , est que ce les - cy sentent bon en toutes leurs partie , fleurs feüilles , branches , tiges , & racines , où celles - la ne sentent bon qu ’ en leurs fleurs , & même , ce qui est de plus remarquable , est qu ’ il y en à de telles dont le reste de la Plante est de tres mauvaise odeur ; comme le Sureau & le Datura à fleur double , dons les fleurs sont de tres bonne odeurs mais les feüilles & tiges sout si puantes , qu ’ elles font mal au coeur , & blessent le cerveau .	Ces herbes odoriferentes sont bonnes à plusieurs usages ; les Cuisiniers s ’ en servent à leurs sauces , potages & salades : les Medecins en beaucoup de rencontres , à diverses maladies : les Jardiniers à la décoration de leurs Parterres .
bibbleue1033	odoriferentes	herbes					Cuisiniers|Medecins				LA difference qu ’ il y à entre les fleurs de bonne odeur & les Plantes odoriferentes , est que ce les - cy sentent bon en toutes leurs partie , fleurs feüilles , branches , tiges , & racines , où celles - la ne sentent bon qu ’ en leurs fleurs , & même , ce qui est de plus remarquable , est qu ’ il y en à de telles dont le reste de la Plante est de tres mauvaise odeur ; comme le Sureau & le Datura à fleur double , dons les fleurs sont de tres bonne odeurs mais les feüilles & tiges sout si puantes , qu ’ elles font mal au coeur , & blessent le cerveau .	Ces herbes odoriferentes sont bonnes à plusieurs usages ; les Cuisiniers s ’ en servent à leurs sauces , potages & salades : les Medecins en beaucoup de rencontres , à diverses maladies : les Jardiniers à la décoration de leurs Parterres .	mais leur usage plus particulier , est d ’ en faire jonchée au Printemps & en Eté , sur les planchers des Sales & Chambres qu ’ on veut entretenir fraîchement & de bonne odeur , si tous les matins on en fait apporter de nouvelles ceüillies devant que le Soleil ait seché la rosée de dessus .
bibbleue1033	odeur		bonne			planchers|Sales|Chambres		au Printemps & en Eté|tous les matins			Ces herbes odoriferentes sont bonnes à plusieurs usages ; les Cuisiniers s ’ en servent à leurs sauces , potages & salades : les Medecins en beaucoup de rencontres , à diverses maladies : les Jardiniers à la décoration de leurs Parterres .	mais leur usage plus particulier , est d ’ en faire jonchée au Printemps & en Eté , sur les planchers des Sales & Chambres qu ’ on veut entretenir fraîchement & de bonne odeur , si tous les matins on en fait apporter de nouvelles ceüillies devant que le Soleil ait seché la rosée de dessus .	Liste des Herbes odoriferentes .
bibbleue1033	odoriferentes	Herbes									mais leur usage plus particulier , est d ’ en faire jonchée au Printemps & en Eté , sur les planchers des Sales & Chambres qu ’ on veut entretenir fraîchement & de bonne odeur , si tous les matins on en fait apporter de nouvelles ceüillies devant que le Soleil ait seché la rosée de dessus .	Liste des Herbes odoriferentes .	ABsinte .
bibbleue1033	odorata	lutea									Athanasie .	Aster lutea odorata .	Basilics .
bibbleue1033	odeur	plantes	verdes					toûjours			Distinction les Plantes selon leurs Genres .	JUsqu ’ à present il a été parlé des plantes selon les diverses proprietez qu ’ elles ont , comme d ’ être toûjours verdes , d ’ avoir bonne odeur , ou de faire de belles fleurs , en quoi consiste principalement l ’ ornement des Jardins .	Il reste maintenant à les distinguer en leurs classes ou genres , comme elles sont considerées la Botanique .
bibbleue1037	odeur		bonne			Angleterre					Tel étoit le déportement de notre St .	Arche vêque en l ’ administration de sa charge , & telles étoient ses vertus , dont la bonne odeur le fit généralement considerer & respecter de toute l ’ Angleterre ; toutefois parce qu ’ il étoit le favori du Ciel , il fut aussi éprouvé de la belle maniere par la persécution : Dieu permettant que plusieurs s ’ opposassent à la sainteté de ses desseins , interprétant ses actions en mauvaise part & vomissant contre lui les injures que toute la malice de l ’ enfer étoit capable de leur suggérer .	Parce que comme pour s ’ acquitter en conscience des fonctions de sa charge , il châtiot les vicieux , reprenoit les mauvais exemples des grands Seigneurs , autant & plus que le déréglement du menu peuple , & qu ’ il étoit impossible de trouver quelque chose à redire contre sa conduite , il ne demeura pas long - tems sans être disgracié du Roi , & fans encourir la haine des Princes , suivi de l ’ inimitié de ses Chanoines , qui se révoltant contre lui , le chargérent d ’ une infinité d ’ actions outrageuses ; quoique tous ces orages ne gagnérent rien sur sa constance , car il demeura parmi les vents de ces tempêtes aussi en repos que si tout cela ne l ’ eût point touché .
bibbleue1038	odeur	soüillons de gauffriers|fromage|fromage			fromage|fromage						Que de peinturez affiquers Dont les meres & les nourrices Regaleront leurs marmouzets ! Que de gasteaux & pains d ' espices ! Icy maint laquais bigarré , Maint petit diable chamarré Fait au Bourgeois guerre cruelle , Tandis que son Maistre coquet Pousse maint amoureux hoquet Vis à vis de quelque Donzelle Qui l ' amuse de sa prunelle Et de son affetté caquet .	Que ces soüillons de gauffriers Font sentir l ' odeur du fromage ! Et que ces noirs chaudronniers Font vn fâcheux carillonnage ! Mais nous voilà quasi dedans , Bon - iour la Foire , Dieu soit ceans , Ie suis vn pauure cul de iatte , Qui vient tout expres de chez nous , Non pour achepter des bijoux , Mais pour au grand bien de ma ratte , Sur vostre los qui tant éclatte , Faire quelques Vers aigre & doux .	Prenez bien garde à ce soldat , Ou plustost ce grand as de pique , De fine peur le cœur me bat Que contre nous il ne se pique .
bibbleue1040	odoriférantes|odoriférantes	herbes	odoriférantes|odoriférantes								La Grenouille attentive à tout ce qui étoit nécessaire à la Reine , lui fit un lit de serpolet & de thim sauvage .	Lorsque la méchante Fée sut que la Reine ne couchoit plus par terre , elle l ’ envoya quérir : Quels sont donc les hommes où les Dieux qui vous protègent , lui dit - elle ? cette terre toujours arrosée d ’ une pluie de souffre & de feux , n ’ a jamais rein prédit qui vaille une feuille de sauge , j ’ apprends malgré cela , que les herbes odoriférantes croissent sur vos pas .	J ’ en ignore la cause , Madame , lui dit la Reine ; & si je l ’ attribue à quelque chose , c ’ est à l ’ enfant dont je suis grosse qui sera peut - être moins malheureux que moi .
bibbleue1040	odorat	violettesoeillets|tubéreuses				parterre	Roi attentif|Reine				En même temps voici des timballes , haubois & tambour , qui recent les nues par des sons agréables & guerriers , toutes les Fées & les Féos commencèrent un ballet si légèrement dansé , que la gambade les élevoit jusqu ’ à la voûte du salon .	Le Roi attentif & la future Reine , n ’ étoient pas moins surpris l ’ un que l ’ autre , quand ils viren tout d ’ un coup ces honorables Baladins métamorphosés en fleurs , qui ne baladinoient pas moins , jassemins , jonquilles , violettesoeillets & tubéreuses , que lorsqu ’ ils étoient pourvus de jambes & de pieds ; c ’ étoit un parterre animé , dont tous les mouvemens rejouissoient autant l ’ odorat que la vue .	Un instant après les fleurs disperurent , , plusieurs fontaines prirent leurs places ; elles s ’ élevoient rapidement , & retomboient dans un large canal qui se forma au pied du Château ; il étoit couvert de petites galères peintes & dorées , si jolies & si galantes , que la Princesse convia ses Ambassadeurs d ’ y entrer avec elle pour s ’ y promener .
bibbleue1048	puants							troisiesme iout du mois de Decembre dernier			Le viuant sera mort & le mort sera vif , Celuy qui se hastoit se trouuera retif , Le premier nay mourra dés sa plus tendre enfance , Continence de Roy , feux veuz au Ciel la nuict , Ce n ’ est pas du fin or que tout ce qui reluict , Quelque Dame d ’ honneur aura mal à la hanche .	[ page NA ] LHyuer de la presente Année qui prist son commencement le vingt - troisiesme iout du mois de Decembre dernier Mil six cens trente cinq sera à son cómencement froid & humide , non sans quelque attrempance quelque fois : mais le plus souuent plein de froidure auec ventz , neiges , gelées & grande mutation de temps , aussi force brouillards espais , & puants , qui seront suiuis de grands ventz , auec quelques neiges & verglats parmy qui seront generatifs d ’ innumerables espece de catharres & autres incommoditez .	Les maladies de costé dureront iusques à la fin de l ’ hyuer , auec mal des yeux .
bibbleue1055	odeur		grandie								QUand l ' Empereur de Constantinople & le Patriarche de Jérusalem surent que Charges ne prendrait rien des biens susdits , ils le prièrent sort de recevoir quelque chose d ' euxs ; se voyant ainsi contraint , il les supplia de lui donner quelque chose des Reliques de notre Seigneur , de sa passion pour l ' amour de Dieu ; il fut commande de jeûner par trois jours , pour être plus enclin à la dévotion , pour visiter les Saintes Reliques , & on avoit choisi douze Grecs , qui devoient traiter des Reliques .	Au trofième jour , Charles se confessa à l ' Archevêque Ebron par grande contrition , puis ils comnencèrent à chanter les Litanies avec quelques Pseaumes ; là se trouva le Préat de Naples , nommé Daniel , qui ouvrit les coffres où étoit la couronne de noire Seigneur , de laquelle sortit une grandie odeur .	Lors Charles se mit à genoux , & pria notre Seigneur que pour la gloire de son nom , il renouvellât les miracles de sainte Passion & Résurrection , & aussùtôt qu ' il eût prié , la Couronne commença à fleurir , & de ses fleurs vint une odeur très - délicieuse chacun pensoit que ses vêtemens fussent vents au Ciel .
bibbleue1055	odeur	fleurs	très - délicieuse								Au trofième jour , Charles se confessa à l ' Archevêque Ebron par grande contrition , puis ils comnencèrent à chanter les Litanies avec quelques Pseaumes ; là se trouva le Préat de Naples , nommé Daniel , qui ouvrit les coffres où étoit la couronne de noire Seigneur , de laquelle sortit une grandie odeur .	Lors Charles se mit à genoux , & pria notre Seigneur que pour la gloire de son nom , il renouvellât les miracles de sainte Passion & Résurrection , & aussùtôt qu ' il eût prié , la Couronne commença à fleurir , & de ses fleurs vint une odeur très - délicieuse chacun pensoit que ses vêtemens fussent vents au Ciel .	Lors Daniel prit un couteau pour trancher la dite Couronne , & en tranchant elle fleurissoit toujours de plus en plus , & en jettoit l ' odeur , & de ses fleurs Charles les mit à part en répositoire , & en un autre cosslre avoit pour mettere les épines de ladite Couronne , il pleuroit si abondamment , que quand il devoit donner des fleurs a l ' Archevêque , Ebron les ent en sa main , & miraculeusement se tinrent à part pendant deux heures , & quand il voulut donner en garde les épines à Ebron , il vit en l ' air le coffre plein d ' odeur , qui se tenoit tout seul , puis en rejettant ses fleurs , elles furent bientôt couvertes de manne .
bibbleue1055	odeur|odeur	fleurs					Ebron				Lors Charles se mit à genoux , & pria notre Seigneur que pour la gloire de son nom , il renouvellât les miracles de sainte Passion & Résurrection , & aussùtôt qu ' il eût prié , la Couronne commença à fleurir , & de ses fleurs vint une odeur très - délicieuse chacun pensoit que ses vêtemens fussent vents au Ciel .	Lors Daniel prit un couteau pour trancher la dite Couronne , & en tranchant elle fleurissoit toujours de plus en plus , & en jettoit l ' odeur , & de ses fleurs Charles les mit à part en répositoire , & en un autre cosslre avoit pour mettere les épines de ladite Couronne , il pleuroit si abondamment , que quand il devoit donner des fleurs a l ' Archevêque , Ebron les ent en sa main , & miraculeusement se tinrent à part pendant deux heures , & quand il voulut donner en garde les épines à Ebron , il vit en l ' air le coffre plein d ' odeur , qui se tenoit tout seul , puis en rejettant ses fleurs , elles furent bientôt couvertes de manne .	Ainsi sont - elles à Saint - Denis en France , & l ' on dit que ce fut cette manne que Dieu envoya au Désert à son peuple .
bibbleue1055	odeur|odeur	fleurs|fleurs				la Cité					Ainsi sont - elles à Saint - Denis en France , & l ' on dit que ce fut cette manne que Dieu envoya au Désert à son peuple .	Pour lors forent faites oeuvres miraculeuses , car tous les malades qui étoient présens furent guéris de toutes maladies par l ' odeur de ces fleurs ; & le peuple qui entrait dans l ' Eglise par grande violence , cria : aujourd ' hui est un jour de salut & de résurrection ; car par l ' odeur de ces fleurs , toute la Cité est remplie de grâces ; car trois cents en forent sains & guéris entre les autres , il y avoit un malade de vingt quatre ans & trois jours , qui étoit areugle , sourd & muet , mais pendant qu ' on tira l ' épine de la Couronne de notre Seigneur , il recouvra la vue , & quand on lui posa il recouvra la parole .	Après cet Edit , Daniel prit un des cloux dont notre Seigneur Jesus - Christ avoit été percé en sa passion , & en grande révérence le mit dans un beau Reliquaire d ' albâtre , en le prenant fut guéri .
bibbleue1055	odeur		grande			île de Colcos					Florippe , fille de l ' Amiral , & soeur de Fierabras , les écoutoit , & eut grande compassion des plaintes que faisoit Olivier ; cette sille étoit jeune & bien faite , blanche comme un lys ; ses cheveux reluisans comme or sin , la sace un peu terminée en longueur , les yeux rians , clairs & étincelans comme deux étoiles ; elle étoit habillée d ' une robe de pourpre , qui étoit merveilleusement riche , & peinte d ' étoiles de sin or , laquelle avoit telle vertu que celle qui l ' avoit ne pouvoit être empoisonnée d ' herbe ni de venin .	Florippe étoit si belle avec ses habillements , que si une personne eût jeûné trois ou quatre jours , la voyant , étoit rassasiée , & elle portoit un manteau qui avoit été sait en l ' île de Colcos , où Jason prit la toison d ' or , comme on a trouvé par écrit en la destruction de Troies , lequel manteau étoit fait d ' une face , & avoit si grande odeur , que c ' étoit merveille .	Parquoi de la beauté de cette demoiselle chacun en étoit ravi : elle avoit , comme j ' ai dit ci - devant , ouï parler les Français en prison , & specialement Olivier , duquel elle en eut grande pitié .
bibbleue1055	odoriférant	beaume|cncens									Madame , je vous prie de nous montrer les Dieux dont vous nous parlez , & s ' ils ont la puissance que vous nous dites qu ' ils nous pussent donner à boire & à manger , & qu ' ils fassent tant , que la puissance de France vienne ici h nous y croirons tous .	Lors la Dame leur dit : tout à l ' heure vous les verrez ; elle prit les clefs & les mena par dessous terre ; puis leur montra les Dieux des Sarrasin qui étoient en noble lieu , précieux & bien riche , & là étoient en grande raajeaté Apollon , Tarvagant , le Dieu Magot , Jupiter & plusienrs autres , tous massifs de fin or d ' Arabie , orné de plusieurs autres joyaux , avec beaume & cncens odoriférant , & plusieurs autres trésors rassemblés .	Quand Gui de Bourgogne vit un trésor , il dit : Site Dieu , qui eût pu croire que cet endroit renfermât tant de richesses : plût à Dieu que Richard de Normandie tint maintenant Jupin en la cité de Rouen ; car il accompliroit l ' Eglise de la Trinité , & que Charlemagne tint les sutres Dieux , il accroîtrait l ' Eglise de Rome qui est gâtée , & des autres il en feroit diverir son peuple .
bibbleue1066	parfumez|puante|puante	hallenée	puante|puante								Item , adieu belle de l ' Orme , Chez qui l ' on void grande Chiorme .	De beaux amans tous parfumez De qui les soûpirs enflamez Ont tout noircy la cheminée , Vrayment chaude est leur hallenée Si puante elle estoit autant Vostre nez n ' en seroit content .	Adieu toute sa maisonnée En beauté si bien façonnée ; Adieu doux amy Sarrazin , Moins sauoureux est vn raisin En la saison de la vendange A moy qui volontiers en mange , Que n ' est ta conuersation .
bibbleue1094	puant|puant		puant|puant								XXI .	Et cependant il se veautre & patroüille , Dans un bourbier puant de tout côtez , Et du limon des sales voluptez , Et se repaît comme une orde grenoüille .	XXII .
bibbleue1100	odeur	onguent		chef|teste		le		la feste			Elle prend donc tout subit Un simple habit Ses cheveux ayant espars De toutes parts , Et en sa main vne boëte D ’ vn onguent Va de loing le sainct Prophete Poursuivant .	Arriuant chez le Lepreux Où il disnoit , De son onguent precieux Qu ’ elle tenoit , Oignit le chef & la teste Du Sauveur Parfumant toute la feste De l ’ odeur , Puis s ’ abaissant à ses pieds Les essuya De ses cheveux desliez Qu ’ elle desploya Les lauant de l ’ abondance De ses pleurs Iettoit cris de repentance Et clameurs Quand Simon eut cecy veu S ’ en est onnoit Iesus l ’ ayant apperçeu L ’ en reprenoit , Puis dist à la magdelaine Tes commis , Tes pechez sans nulle peine Sont remis .	Or prions ce bon Sauveur De bouche & coeur Qu ’ ainsi qu ’ on à fait pardon A Magdelon , Ainsi que chantans la gloire De ses faits Il oste de sa memoire Nos forfaits .
bibbleue1100	Odeur	ouguent	tres - sou eraine								Aux nopces de Cana Il mua de l ’ eau purâ En bon vin qu ’ il donna Pour eviter l ’ injure , C ’ estoit de sa fracture Er luy méme en beuvoit Il est Roy de nature , Souvent il s ’ est repeu Estant en bethanie Et maintes fois à beu , Avec Marthe & Marie Puis donna apres vie A l ’ amy qui gisoit Par la mort ennemie Vive ce Dieu & Roy .	Il a beu chez Simon Où vient la Magdelaine Pour ouyr le Sermon , De sa divine haleine D ’ un ouguent qu ’ il donnoit Odeur tres - sou eraine Vive ce Dieu & Roy .	Premier que d ’ estre absent Le Jeudy de la Cene Il beut son mesme sang Puis donna son sang mesme Et d ’ un amour extréme Dit qui son sang boiroit Ne verroit la mort blesme Vive ce Dieu & Roy .
bibbleue1100	air		pestifere								Autre Cantique à l ’ onneur de Monsieur saint Roch propre à chanter en temps de contagion , & se châte sur le chant , A qui me dois - je retirer , puis que mon amy m ’ a laissée .	SAint Roch Confesseur glorieux Amy de Dieu tres debonnaire Qui pour servir le Roy des Cieux Nous à est é fort formulaire Et nous as monstrél ’ exemplaire De bien vivre & bien mourir Contre mauvais air pestifere Te plaise de nous secourir .	Il est certain qu ’ à tous propos Du temps qu ’ estois sur la terre Tousiours tu travaillois ton corps A maladie de peste male Et ne craignant nulle deserte Toy mesme les allois penser , Mais de ce pestilent catherre , Saint Roch nous vueille dispenser .
bibbleue1100	puante|puante		puante|puante								I ’ ay fait promesse & c .	C ’ est de Iesus la maison De long temps establie La maison d ’ Oraison Qui jamais ne varie , La zizannie La veut perdre & gaster La puante heresie , La veut devalizer .	J ’ ay fait promesse , & c .
bibbleue1124	odeur	oignement	suaue			maison					Le Lazare s ' assit , Marie Marthe seruit , & administroit les viandes .	Comme la Magdeleine oignit les pieds de Iesu - Christ MArie Magdeleine print vne boite qui estoit pleine oignemens precieux , & en oignit les pieds de nostre Seigneur Iesus - Christ , dont la suaue odeur dudit oignement emboma toute la maison .	Iudas qui estoit Disciple de Iesus , dist , il eust bien mieux valu qu ' iceluy oignement , qui vaut trois cent deniers , eust esté vendu , & donné aux pauures .
