Book	Smell_Word	Smell_Source	Quality	Odour_Carrier	Evoked_Odorant	Location	Perceiver	Time	Circumstances	Effect	SentenceBefore	Sentence	SentenceAfter
ro104	smell	it	such|offensive							that being immediately seized with a nausea and sickness at his stomach , he was obliged to	Thomas ' s to make the inquiry , we found the patient sitting in one of the courts , recovered of his fever , tho ' still weak , and had the following account from himself : He said , that upon first finding himself indisposed , he had left off work for some days ; but upon growing better he had returned to Newgate .	That soon after happening to open one of the tubes of the old ventilator , which had stood there for three or four years , such an offensive smell issued from it , that being immediately seized with a nausea and sickness at his stomach , he was obliged to go home , and that the night after he fell into a fever , in which he lay about eight days before his friends carried him to the hospital .	That becoming soon delirious , he recollected no other symptom , succeeding these mentioned , besides frequent retchings to vomit , a trembling of his hands , and a constant head - ach .
ro104	stench						he				We saw him on the same day with the other two , which was the fourteenth of his sickness , and the twelfth since he took to his bed .	His mother told us , that some of the journeymen working in Newgate had forced him to go down into the great trunk of the ventilator , in order to bring up a wig , which one them had thrown into it ; and that , as the machine was then working , he had almost been suffocated with the stench , before they could get him up .	That upon coming home he complained of a violent head - ach , a great disorder in his stomach , with retchings to vomit , which had never entirely left him .
ro104	smell|foul|foul	from the	ill|foul|foul	steam					when the machine was standing still	he was ready to be suffocated|as to bring up blood	He being in no condition to be moved , and being besides well attended by his mother , and in a well - aired chamber , we prescribed to him there , and repeated our visits , till he was quite free of the fever .	It was observable , that before he was taken ill , he had been twice let down into the great trunk of the ventilator , when the machine was standing still , without complaining of any ill smell , or receiving any hurt thereby ; but that the last time , when the machine was working , he immediately cried out he was ready to be suffocated ; and the two men who helped him out , by receiving the foul steam from the trunk , were both set a vomiting so violently as to bring up blood .	On the 23 of August , Thomas Wilmot , above - mention ' d , called upon Dr .
ro113	fetid|fetid	The Urine	extremely fetid|fetid								About the Beginning of January last , he was attacked with a severe Fit of the Stone , attended , upon every Attempt to make Water , with a strong Tenesmus , that forced into the Scrotum a considerable Quantity of the Intestines , which exceeding his Skill to reduce , he sent for me .	I found the Tumour large and unequal , but without much Tension or Inflammation ; his Pulse low , with clammy Sweats ; he complained of violent Pains in his Back , propagated thro ' the whole Length of the Ureters , accompanied with Nausea and Vomitings ; he felt exquisite Pain about the Neck of his Bladder and Glans , with an unusual Weight in Perinaeo ; he had frequent Inclinations to make Water , but seldom made above a Spoonful at once , and that Drop by Drop , with much Pain , and sudden Stoppings : The Urine was extremely fetid , sometimes mixed with purulent Matter , at others tinged of a Coffee Colour .	He had received , just before I saw him , a Clyster , which produced two Stools , and encouraged me to hope might facilitate the Reduction of his Rupture .
ro119	odour		pleasant|fragrant								The distillate can readily be separated into an aqueous and an oily portion .	The latter then presented the appearance of a light straw - coloured oil , possessing a pleasant and fragrant odour .	It was washed and then dried over chloride of calcium , and submitted to fractional distillation , by which traces of alcohol , acetic ether , and ethyl iodide were effectually removed from the other products , which now boiled between 120 ? and 265 ? C .
ro119	odour	Ethylic diethacetone carbonate	fragrant								"O0H C , , & lt ; Na2a + 202 15 TI = C4 ( Cs s ) 2Na I I0o0 "" 2 ( O O C2 H "" ZEthiylic dietiacetone carbonate ."	Ethylic diethacetone carbonate is a colourless and somewhat oily liquid , possessing a fragrant odour and a pungent taste .	It is insoluble in water , but miscible in all proportions with alcohol and ether .
ro119	odour	Diethylated acetone|of camphor	penetrating								acetone .	Diethylated acetone is a colourless , transparent and mobile liquid , possessing a penetrating odour of camphor , and the burning and bitter after - taste of the same substance .	It is very slightly soluble in water , but miscible in all proportions with alcohol and ether .
ro119	odour		very fragrant								Ethylic ethacetone carbonate is a colourless and transparent liquid , pos .	sessing a very fragrant odour and an aromatic taste .	It is nearly insoluble in water , but miscible in all proportions with alcohol and ether .
ro119	odour	Ethylated acetone	powerful|pleasant|slightly perceptible								acetone .	Ethylated acetone is a colourless , transparent and very mobile liquid , possessing a powerful and pleasant odour , in which that of camphor is slightly perceptible .	Its specific gravity is - 8132 at 13 ? C .
ro119	vapour	its									, and ' 8046 at 22 ? C .	It boils steadily at 101 ? ' 5 , and its vapour has the density 2 - 951 , the above formula requiring 2 ' 971 .	p .
ro119	odour	Ethylic dimethacetone carbonate	peculiar penetrating|pleasant								46 The reactions involved in the production of these bodies are exactly similar to those by which the corresponding ethylic bodies are formed .	Ethylic dimethacetone carbonate is a colourless , slightly oleaginous liquid , possessing a peculiar penetrating and pleasant odour , and a sharp burning taste .	It is scarcely at all soluble in water , but readily so in alcohol and ether .
ro119	odour	Dimethylated acetone	pleasant		of parsley and acetone						Its remaining properties very closely resemble those of ethylic diethacetone carbonate .	Boiled with baryta - water , it gives barium carbonate and dimethylated acetone , C Me 12 Dimethylated acetone is a colourless , transparent and very mobile liquid , possessing a pleasant odour , reminding at the same time of parsley and acetone .	Its specific gravity is ' 8099 at 13 ? C .
ro119	odour	Methylated acetone	more pungent		like chloroform						The liquid so obtained , after drying over quicklime and rectification , gave analytical results corresponding with the above formula .	Methylated acetone is a colourless , transparent and very mobile liquid , possessing an odour like chloroform , but more pungent .	It is tolerably soluble in water , and more than slightly so in a saturated solution of common salt .
ro120	scent	whose|of Oil of Turpentine|Asparagus									) and Discourses at large of the Manner of Separation of the Serum from the Blood , which , in his Opinion , is done by a peculiar Fermentation made in that Part ; yet leaving it in the dark , How by that effervescence the serious Part of the Blood , together with many Impurities , is separated , and what Configuration it requires , fit to pass alone through the Pores of the Kidneys , with exclusion to the Blood ? And , which is much more strange , How divers solid and hard Bodies , as Needles , small Nails , Fennil and Anni - seeds , & amp ; c .	( of which here are alleged Examples well attested , ) can be excreted with Urine , but without Blood : To render some tolerable Account of which Phenomenon , as also , to conceive the better , How Spaw - waters can be in so great plenty Voided , without passing through the Heart , Lungs and Kidneys , and without molesting the Heart ; our Author suspects , there are some Lacteous Vessels , going some yet unknown Way to the Bladder and Womb ; which Suspicion he confirms by this , That sometimes a chylous milky Matter hath been seen voided with the Urine : By which Way he imagines also that those Liquors do pass , whose colour and scent do remain unchanged in the Wine : Of which Cases he names several , not only of Oil of Turpentine , and Asparagus ( which are commonly known to do so , ) but also of a black Medicine , rendering black the Urine , soon made after ; of Saffron given to a Women in Travel , and having tinged the Child born within a quarter of an Hour after ; of some , that had eaten the roasted Fat of Lambs - Kidneys , which by the Author himself was seen soon after to come almost always with the Urine , & amp ; c .	Treating of the Parts of Generation ; he animadverts upon Veslingius and others , that teach the spermatique Veins and Arteries to terminate in the Parastatae , and there to be changed into the vasa deferentia , as Bodies continued to them ; whereas he thinks it evident , That those Vessels do not enter into the Parastatae , but the Testicles themselves ; which latter being Discoursed of by him , he not only alleges Examples of some , that had 3 Testes but also an Instance of one that was born without any at all , and yet acted the Part of Virility in coitu .
ro120	faetid|faetid	Things	faetid|faetid							in hysterical Women|in bysterical Fits	Then he rejects the Opinion of those , that hold a threefold Semen , elaborated in three different Parts , and necessary to Generation : He shows also , how castrated Animals may Engender ; and yet how inconsequent it is , that because some Animals destitute of Testicles do Generate , therefore the Testes do not conficere semen .	Proceeding to the Female Sex , he inquires into the Nature of the fermentum uterinum quod inducit menstrua ; and examines , Whether a Faetus may be formed extra uterum ? Whether the uterus do remove from its place in hysterical Women ? How faetid Things do help in bysterical Fits ? Whether a Faetus can be born , the Mother being dead ? An mulierum genitalia solo situ a virorum genitalilus differant ? An mulier mutari possit in virum ? What is the constituent Matter of the Seed ? Whether any Thing besides Arterial Blood , and Animal Spirits ? How imagined Ideas are imprinted in the Seed ? Whence comes the external likeness in the Faetus ? Whether the semen muliebre be the formative Cause of the Faetus , and the virile be only a Ferment to open and put into act the forming Power of the Female Seed ? What may be saidto the Harvean Observations concerning the NonAppearance of the Seed soon after the Coit ? Further , he considers the whole Work of the Formation of the Faetus ; and investigates , what is its Power ? Whether the Seed be actually animate ? Whether a Vegetative Soul be to be admitted in Man ; and wherein that consists ? Moreover he inquires , Whether the Nutrition of the Faetus is performed by the Navil , or the Mouth , or by both ? and resolves for the last ; alleging for the Nutrition by the Mouth , among other Arguments , an Observation he made of a Child of his own , which about an Hour after it was Born , did void at the Mouth a copious Milk , before it had sucked or taken in any Thing .	XVIII .
ro141	putrid|putrid	a dead fly	putrid|putrid								3 , a , A ; this , he says , proceeded from an infusion of bruised wheat .	I have seen the same species arise from the body of a dead fly , which was become putrid by lying floating for some time in a glass of water , where some flowers had been , in the month of August , 1768 .	This species of Mucor sends forth a mass of transparent filamentous roots , from whence arise hollow stems , that support little oblong - oval seed vessels with a hole on the top of each ; from these I could plainly see minute globular seeds issue forth , in great abundance , with an elastic force , and turn about in the water as if they were animated .
ro141	putrid|putrid		putrid|putrid								This species of Mucor sends forth a mass of transparent filamentous roots , from whence arise hollow stems , that support little oblong - oval seed vessels with a hole on the top of each ; from these I could plainly see minute globular seeds issue forth , in great abundance , with an elastic force , and turn about in the water as if they were animated .	Continuing to view them with some attention , I could just discover , that the putrid water , which surrounded them , was full of the minutest animalcula , and that these little creatures began to attack the seeds of the Mucor for food , as I have observed before in the experiment on the seeds of the larger kind of Fungi or mushrooms .	This new motion continued the appearance of their being alive for some time longer : but soon after many of them arose to the surface of the water , remaining there without motion ; and a succession of them afterwards coming up , they united together in little thin masses , and floated to the edge of the water , remaining there , quite inactive during the time of observation .
ro141	putrid|putrid		putrid|putrid								Needham calls chaplets and pearl necklaces , I have seen frequently very distinctly .	These appear not only on an infusion of bruised wheat , when it becomes putrid , but on most other bodies , that throw up a viscid scum , and are in a state of putrefaction .	These then are evidently no more than the most common Mucor , the seeds of which are every where floating in the air ; and bodies in this state afford them a proper and natural soil to grow upon .
ro141	putrid|putrid		very putrid|putrid					by the 25th of March			EXPERIMENT I .	On the 25th of February last , I put half an ounce of hempseed to about two ounces of New - river water in a vial , and covered it close with paper , to prevent the dust coming to it : by the 25th of March it became very putrid , and had thrown up a viscid scum to the top .	Fahrenheit ' s thermometer in the house was , during this time , from about 44 to 52 degrees .
ro170	putrid|putrid		putrid|putrid	contents							Great attention and care were used in the proper applications , bandage , & amp ; c .	particularly in the posture of the patient ; ivory and silver flat cannulas , kept in the aperture , were materially beneficial , as well for the conveyance of balsamic injections , as to facilitate the exit of the putrid contents .	The 3d night after the operation , she turned delirious ; this symptom , with an increased fever and excessive cough , afforded little or no hopes of a recovery , the more especially , as the discharge was now turned excessively thin , of a dusky colour and very faetid : for these reasons , I dressed her twice a day , throwing in large quantities of a warm injection , composed of a decoct .
ro170	faetid|faetid		very faetid|faetid								particularly in the posture of the patient ; ivory and silver flat cannulas , kept in the aperture , were materially beneficial , as well for the conveyance of balsamic injections , as to facilitate the exit of the putrid contents .	The 3d night after the operation , she turned delirious ; this symptom , with an increased fever and excessive cough , afforded little or no hopes of a recovery , the more especially , as the discharge was now turned excessively thin , of a dusky colour and very faetid : for these reasons , I dressed her twice a day , throwing in large quantities of a warm injection , composed of a decoct .	ficuum , and rad .
ro178	odour				resembled that of wood|that of charcoal		My		during combustion|by digesting the powder|in boiling distilled water		I was , however , soon convinced that the substance of these leaves was not complete charcoal , but might more properly be regarded as vegetable matter in an incipient state of carbonization , which , although possessed of many of the apparent properties of charcoal , still retained a small portion of some of the other principles of the original vegetable .	My suspicion was excited , partly byr the odour produced during combustion , which rather more resembled that of wood than that of charcoal , and partly by the brown solution formed by digesting the powder of the unburned schistus in boiling distilled water ; for , by various tests I ascertained , that the substance thus dissolved was not of a mineral nature .	In order , however , fully to satisfy myself in this respect , I digested 250 grains of the pulverised schistus with six ounces of water .
ro178	odour	it|of vegetable matter							When burned		Another portion was also evaporated to dryness , and afforded a similar brown substance , which was only partially soluble in water and the residuum , in both of the above cases , was found to be insoluble in alcohol , and in ether .	When burned , it emitted smoke , with the odour of vegetable matter .	250 grains of the schistus , afforded about three grains of the above substance ; and , when the properties of the aqueous solution are considered , such as its partial decomposition , and the deposit which it yielded by exposure to air , and by evapora tion , the insolubility of this deposit when again digested with water , alcohol , or ether ; the smoke and odour which it yielded when burned ; and the precipitates formed by the addition of sulphate of iron and muriate of tin to its solution ; when these properties , I say , are considered , there seems much reason to conclude , that the substance dissolved by water was vegetable extract , which had apparently suffered some degree of modification , but not sufficient to annul the more prominent characteristic properties of that substance .
ro178	odour	of|of sulphate|sulphate of|of iron|iron							when burned|the addition of|of sulphate|sulphate of|of iron|iron		When burned , it emitted smoke , with the odour of vegetable matter .	250 grains of the schistus , afforded about three grains of the above substance ; and , when the properties of the aqueous solution are considered , such as its partial decomposition , and the deposit which it yielded by exposure to air , and by evapora tion , the insolubility of this deposit when again digested with water , alcohol , or ether ; the smoke and odour which it yielded when burned ; and the precipitates formed by the addition of sulphate of iron and muriate of tin to its solution ; when these properties , I say , are considered , there seems much reason to conclude , that the substance dissolved by water was vegetable extract , which had apparently suffered some degree of modification , but not sufficient to annul the more prominent characteristic properties of that substance .	The powder of the schistus , which had been employed in the preceding experiment , was afterwards digested in alcohol during two days ; and a pale yellow tincture was thus fortmed , which , by evaporation , left about one grain of a yellow transparent substance , possessing the properties of resin .
ro178	odour|smell	it|the|the coal|coal	fragrant|very unpleasant						by burning the|the coal|coal itself|by burning any of the common bituminous substances		A yellowish .	brown tincture was thus formed , which , by evaporation , afforded a deep browxn substance , possessing all the properties of resin , being insoluble in water , but soluble in alcohol , and in ether ; it also speedily melted , when placed on a red - hot iron , burned with much flame , and emitted a fragrant odour , totally unlike the very unpleasant smell produced by burning the coal itself , or by burning any of the common bituminous substances .	The quantity , however , which could be extracted from 2oo grains of the coal , by alcohol , was but small , as it did not exceed 3 grains .
ro178	odour		fetid						the combustion of this substance		The quantity , however , which could be extracted from 2oo grains of the coal , by alcohol , was but small , as it did not exceed 3 grains .	But this small quantity was sufficient to prove , that although the Bovey coal does not contain any vegetable extract , like the schistus formerly mentioned , yet the whole of the proximate principles of the original vegetable have not been entirely changed ; as a small portion of true resin , not converted into bitumen , still remains inherent in the coal , although the bituminous part is by much the most prevalent , and causes the fetid odour which attends the combustion of this substance .	Upon a comparison of the general external characters of the Bovey coal , with those of the substance which forms the leaves contained in the Iceland schistus , a very great resemblance will be observed ; and this is farther confirmed , by the similarity of the products obtained from each of them in the preceding experiments , with the single exception , that the leaves contain some vegetable extract , which I could not discover in the Bovey coal .
ro178	scent	they	very agreeable|aromatic								Dr .	"MILLES , in his remarks on the Bovey coal , ( which I have several times had occasion to notice in the course of this Paper , ) states , that "" amongst the clay , but adhering to the coal , are "" found lumps of a bright yellow loam , extremely light , and so "" saturated with petroleum , that they burn like sealing wax , "" emitting a very agreeable and aromatic scent ."	""" ."
ro178	odour	It	faint resinous						when held for some time in the hand		It is extremely brittle .	It dQes not apparently become softened , when held for some time in the hand , but emits a faint resinous odour .	The specific gravity , at temperature 6 .
ro178	odour|scented|scented|scented	it	very fragrant|sweet|sweet|scented|scented|scented		like some of the sweet|sweet - scented|scented|scented resins|of asphaltumn				When placed on a heated iron		Some specimens have dark spots , slightly approaching in colour and lustre to asphaltum ; and small portions of the Bovey coal are commonly interspersed in the larger masses of this bitumen .	When placed on a heated iron , it immediately melts , smokes much , burns with a bright flame , and yields a very fragrant odour , like some of the sweet - scented resins , blt which at last becomes slightly tainted with that of asphaltumn .	The melted mass , when cold , is black , very brittle , and breaks with a glossy fracture .
ro178	odour	brown oily bitumen	slightly		of vegetable tar 45 S .						Water slightly acid 3 2 .	Thick brown oily bitumen , very similar to that which was obtained from the Bovey coal , but possessing slightly the odour of vegetable tar 45 S .	Light spongy coal 23 4 .
ro178	odour	The solution	resinous								men ; and , being added at difterent times , gradually dissolved a considerable part of it .	The solution was reddish - brown , and had a resinous odour ; by the addition of water it became milky , and , by evaporation , afforded a dark brown substance , which had every property of resin , whilst the residuum left by the alcohol possessed those properties which characterize asphaltum .	The following analysis was then made , to discover the proportions of the component ingredients .
ro178	fragrant|fragrant		fragrant|fragrant	resin							A deep reddish - brown tincture was thus obtained ; and the operation was again twice repeated , with other portions of the same menstruum , until it ceased to act upon the residuum .	The whole of the spirituous solution ( which had been cautiously decanted ) was then subjected to a very gradual distillation in an alembic , and yielded a brown fragrant resin , which weighed 55 grains .	B .
ro178	odour	of asphalturn	disagreeable	It							These 41 grains consisted of a light , porous , pale browr substance , which , being melted , formed a black , shining , brittle mass .	It burned with the odour of asphalturn , but rather ' ess disagreeable , owing most probably to a small portion of the resin , which had not been completely extracted by the alcohol .	It was insoluble in water , and in alcohol , but was readily dissolved by heated fat oils ; and in every other particular was found to possess the properties of asphaltum .
ro178	odour	asphaltum|of petroleum									ii .	From asphaltum , the alcohol had extracted a yellow tinctures which , in some situations , appeared of a pale olive colour , and , being spontaneously evaporated , a thick brown liquid was deposited , in small drops , on the glass ; these drops did not become hard after two months , and possessed the odour , and every other property , of petroleum .	The asphaltum had lost in weight about one grain and a half .
ro178	odour	its	petroleum								IV .	The alcohol which had been digested on pit coal , had not assumed any colour ; but , by spontaneous evaporation , * it left a film on the glass , which , by its odour , was also found to be petroleum .	By these experiments we find , that the action of alcohol on the bitumens is very slight ; and that the small portion which may thus be extracted from some of them , is petroleum .
ro178	odour	it	not disagreeable						When applied to the flame of a candle		The purest specimens Iare in ; the form of nodules ; the fracture is earthy ; it is opaque ; soft ; brittle ; and is very light .	When applied to the flame of a candle , it burns and melts like sealing - wax , at the same time diffusing an odour which is not disagreeable .	This substance appears to accord in so many properties with the retinasphaltum of Bovey , that I cannot but suspect it to be of a similar nature , and I have little doubt that , by a chemical examination , it will be found to consist partly of resin and partly of bitumen .
ro215	odour	It	agreeable		somewhat resembling new hay						i .	The wax in its rough state , is in the form of a coarse pale gray powder , soft to the touch , and mixed with various impurities , consisting chiefly of fibres of the bark of the tree , which , when separated by a sieve , amount to about 40 per cent , It has an agreeable odour , somewhat resembling new hay , but scarcely any taste .	At 2o68 FAHRENHEIT , it enters into perfect fusion , and in this state it may be further purified , by passing it through fine linen .
ro215	smell	it|its	peculiar								At 2o68 FAHRENHEIT , it enters into perfect fusion , and in this state it may be further purified , by passing it through fine linen .	By this process , it acquires a dirty green colour , and its peculiar smell becomes more evident .	When cold , it is moderately hard and brittle .
ro215	odour		peculiar		of						2 .	Water exerts no action on the wax , unless boiled with it for some hours ; it then acquires a slight brown tinge , and the peculiar odour of the wax .	$ .
ro215	smell	it	unpleasant								The trials which have been made to ascertain its fitness for this purpose , are extremely satisfactory , and when the wick is properly proportioned to the size of the candle , the conm bustion is as perfect and uniform , as that of common bees wax .	The addition of from one - eighth to one - tenth part of tallow , is sufficient to obviate the brittleness of the wax in its pure state , without giving it any unpleasant smell , or materially impairing the brilliancy of its flame .	A mixture of three parts of the vegetable wax , with one part of bees wax , also makes very excellent candles .
ro220	Odours						Professor|to Cromwell Mortimer		passing through electrised Globes and Tubes		XXXIV .	An Account of Professor Winkler ' s Experiments relating to Odours passing through electrised Globes and Tubes , being the Extract and Translation from the Latin of two Letters sent by that Gentleman to Cromwell Mortimer , M .	D .
ro220	odoriferous|odoriferous|smell|odoriferous|odoriferous|effluvia|odoriferous|odoriferous|smell	substances|substances|matter|saliva|of the substance	odoriferous|odoriferous|odoriferous|odoriferous|odoriferous|odoriferous				his		when a man was electrised with a globe of this		PROFESSOR Winkler , in his first letter to Dr .	Mortimer , dated at Leipsic , March 12 , 1748 , mentions , among other particulars , that if odoriferous substances were included in glass globes and tubes closely stopped , and if these globes were electrised , the smell of the odoriferous substances would as easily as the magnetical power pass through the glass , and be conveyed with the electrical effluvia to considerable distances , upon substances readily conducting electricity : that when a man was electrised with a globe of this sort , the odoriferous matter pervaded his whole body ; and that not only his skin and his cloaths , but his breath , saliva , and sweat , were impregnated with the smell of the substance included in the glass .	That after these globes had been rubbed a few minutes , the flavour 4 of Read June 20 .
ro220	smell|breath|smell	of the sulphur	so prevalent				him	the next day		that his company was driven away thereby	Winkler mentions , that when he made use of sulphur in his globe , in company with his friend Mr .	Haubold , and others , the smell of the sulphur was perceived at more than ten feet ' s distance , and was so prevalent , that his company was driven away thereby : but that himself staying therein some time longer , his cloaths , his body , and his breath , were infected thereby ; and that this smell even continued upon him the next day .	Moreover upon his repeating this experiment , as he had before found , that sulphur had been useful to him , he on the third day found in his mouth manifest indications of an inflamed blood .
ro220	odour|odour|it	cinnamon|its	pleasant|immediately perceptible				he|to any one entering the chamber	the next day			Moreover upon his repeating this experiment , as he had before found , that sulphur had been useful to him , he on the third day found in his mouth manifest indications of an inflamed blood .	After this he wanted to transmit a pleasant odour ; and for this purpose employed cinnamon , which under the like circumstances sent forth its odour in great abundance ; so that it was not only immediately perceptible to any one entering the chamber , but continued there the next day .	Balsam of Peru , under the like treatment , so impregnated the air of the room , that the cloaths and the breath of the persons therein smelled of the balsam , after having passed through several streets ; and that Mr .
