Book	Smell_Word	Smell_Source	Quality	Sentence
gallica3	puanteur		grande	Septembre suruint vn si furieux tremblement , que vous eussiez dit que les maisons estoient des berceaux , ou des roscaux agitez des vents : après cét efpouuantable tremblement de terre , qui fairoit quO on pouuoit dire , Sub pedibus mugire solum , & celfi iugn moueYt ) à trois ou quatre milles loin de Pille du costé d ' Orient , entre Anidros & Sant - Erini , sortirent du fond de la mer par trois diuerses fois des flammes à la hauteur de dix ou douze coudées , & ces feux estoient accompagnez & comme enueloppez des espaisses nuées qui sor - toient de ce gouffre , & s ' esleuoient par la force de la chaleur en haut ; & puis battues de leur contraire retomboient en bas , auec vne puanteur & vne infection si grande , qu ' on croyoit qu ' elles cstoient sorties des enfers .
gallica3	exhalaisons		cnsoufrées	terrains efleuans la terre , tasehoient de faire breche , & com - muniquoient à la mer leurs exhalaisons cnsoufrées .
gallica3	puanteur	foudre		Ceux qui pour s ' erre approchez trop prés du lieu où l ' ardeur du feu & la puanteur du foudre auoit quelque pou ' Tertull .
gallica3	vapeurs	soufre		' le sçay que plusieurs reuoquerontce - cy en doute , & diront que ce sont des effets d ' vne imagination troublée & d ' vn cerceau enyuré des vapeurs de cc soufre : toutesfois puisque Dion l ' Histo - """" rien ose asseurer que du temps que le mont Vesuue vomit tant de flammes , causa tant de tonneres , & poufsa des cendres iusques en Afrique , en Syrie & en Egypte , à [ falloir l ' an 81 .
gallica3	exhalaisons		diuerses|enflammées	Les Prestres Grecs n ' experimenterent pas lamesmeprote & ion que ces bonnes Religieuses : ils voulurent Ce scparer des Francs pour gagner auec toute leur suite l ' extremite de rifle ; mais en chemin ils furent tellement assaillis de tonnerre & d ' esclairs & de diuerses exhalaisons enflammées , qui passoient & rcpalïbient continuellement auprès d ' eux , sans toucher aux personnes laïques , que vous eussiez dit que le Ciel leur auoit déclaré la guerre 5 particulierement lors qu ' ils furent arriuez à vne Eglise de sain & c Marine , où la foudre tomba à leurs pieds , fendit en deux vn roc voisin , & laissa en l ' air vne telle malignité , que tous ces Prestres & tous ceux qui alïistoient à leurs processions demeurerent aueu * gles ) auec vne douleur si aiguë ' & si brûlante , qu ' ils crioyent tous comme : des desesperez , & ne sçauoient s ' ils déuoient nuancer ou reculer : c ' estoit pour lors que l ' on pouuoit dire en tous sens de ces Palamites , cacifunt duces cdtcorum , Toutefois ils ne furent pas seuls affli - Mrtth .
gallica3	odeur		diuine	pportable & ensoufrée a produit vné diuine odeur dans les conscien - ces de plusieurs , qui ne respirent à pre .
gallica3	odeur|puanteur			pandit vne telle odeur , & auec telle abondance , qu ' elle fefîtsèntirnon feulement en nostreEgIi ( e , mais par toute l ' Ille ; & réioüic tous les habitans , qui se mouroient de la puanteur que vomif - soit ce gouffre d ' enfer .
gallica3	odoriférant	roses|lys		qui n ' asseure qu ' elle surpassoit en fenteui r toutes les roses & tous les lys , & tout ce qu ' il y a d ' odoriférant en ce monde $ aussi ne venoit - elle pas dela ter - re ; & sa cause estant toute diuine , clic nepouuoit estre que tres - merueillcuie .
gallica5	haleine|parfum|exhale|odeurs	fleurs	suaves	Mais le soir a voilé le flanc de ces montagnes ! Tout est calme au désert dans ces tristes campagnes ; La seule Philomèle , aux lueurs de la nuit , Soupire ses doux chants vers l ' onde qui s ' enfuit , Et la vierge inclinée au bord de la fontaine Respire du zéphyr la fugitive haleine , S ' embaumant du parfum qui s ' exhale des fleurs , Et portant en tous lieux leurs suaves odeurs .
gallica5	haleine|parfum|exhale|odeurs	fleurs	suaves	Mais le soir a voilé le flanc de ces montagnes ! Tout est calme au désert dans ces tristes campagnes ; La seule Philomèle , aux lueurs de la nuit , Soupire ses doux chants vers l ' onde qui s ' enfuit , Et la vierge inclinée au bord de la fontaine Respire du zéphyr la fugitive haleine , S ' embaumant du parfum qui s ' exhale des fleurs , Et portant en tous lieux leurs suaves odeurs .
gallica10	odeur	huile	très - mauvaise	Ils trempent leur pain dans une es - pèce d ' huile qui a une très - mauvaise odeur ; ils la recueillent au milieu des sables du désert , dans des sources qui ne sont connues que d ' eux seuls , et qu ' on ne trouve qu ' à une distance de vingt lieues l ' une de l ' autre ( 1 ) .
gallica10	odeur	huile	très - mauvaise	Ils trempent leur pain dans une es - pèce d ' huile qui a une très - mauvaise odeur ; ils la recueillent au milieu des sables du désert , dans des sources qui ne sont connues que d ' eux seuls , et qu ' on ne trouve qu ' à une distance de vingt lieues l ' une de l ' autre ( 1 ) .
gallica12	parfums		irritants	Claude quitta enfin d ' un pas rapide ces allées solitaires où il avait rencontré le vertige , et où les blanches statues elles - mêmes , nymphes et déesses du paradis païen , semblaient ouvrir leur bouche de marbre en étendant les bras comme pour arrêter au passage et presser un instant contre leur sein pâmé les sylphes amoureux qui voltigeaient par essaims dans cette atmosphère embrasée de tous les irritants parfums du printemps .
gallica12	odeur	feuillages|végétation	pénétrante|verte	Les feuillages , lavés par la pluie de la journée , dégageaient dans l ' air rafraîchi une pénétrante et verte odeur de végétation | qui enivrait le poumon .
gallica12	odeur	feuillages|végétation	pénétrante|verte	Les feuillages , lavés par la pluie de la journée , dégageaient dans l ' air rafraîchi une pénétrante et verte odeur de végétation | qui enivrait le poumon .
gallica12	odeur	héliotrope|verveine		J ' appelai ma femme de chambre , et je lui demandai pourquoi elle avait , sans me consulter , changé l ' odeur dont je me servais habituellement , l ' héliotrope ou la verveine .
gallica12	odeurs|parfum	lilas|chevelure		« — Je ne sais , me dit - il ; c ' est cette musique , cette soirée de printemps , ces odeurs de lilas qui — 137 — entrent par les fenêtres , ce parfum qui émane de ta chevelure .
gallica12	parfums	tropicale	enivrants	En m ' écoutant , il se rappelait ainsi les heureuses soirées passées jadis auprès d ' elle dans un demi - jour paisible et discret , alors qu ' il se tenait , comme il faisait avec moi , derrière sa chaise , le coeur extasié et la figure noyée dans les ondes de ses cheveux bruns , imprégnés des enivrants parfums de la flore tropicale chers à celte dame qui était créole , el dont il m ' avait ordonné l ' usage pour ajouter une illusion de plus au simulacre de cet amour adultère .
gallica12	parfums	tropicale	enivrants	En m ' écoutant , il se rappelait ainsi les heureuses soirées passées jadis auprès d ' elle dans un demi - jour paisible et discret , alors qu ' il se tenait , comme il faisait avec moi , derrière sa chaise , le coeur extasié et la figure noyée dans les ondes de ses cheveux bruns , imprégnés des enivrants parfums de la flore tropicale chers à celte dame qui était créole , el dont il m ' avait ordonné l ' usage pour ajouter une illusion de plus au simulacre de cet amour adultère .
gallica12	odeur	tan	saine	Avec elle , il gravissait la rude montée du coteau au bord duquel se penchait la maison du docteur Michelon ; il revoyait l ' humble presbytère où il avait grandi auprès de son oncle , il s ' enivrait à respirer la saine odeur du tan que l ' on prépare sur les bords de la petite rivière .
gallica12	odeur	tan	saine	Avec elle , il gravissait la rude montée du coteau au bord duquel se penchait la maison du docteur Michelon ; il revoyait l ' humble presbytère où il avait grandi auprès de son oncle , il s ' enivrait à respirer la saine odeur du tan que l ' on prépare sur les bords de la petite rivière .
gallica15	odeur		suave	Hall , comme le marchand de drap qui a le plus de cervelle de tout le Yorkshire , et c ' est pour cette raison qu ' il affirme qu ' il devrait être choisi comme un sacrifice , une oblation de suave odeur .
gallica15	odeur	poudre	sulfureuse	Au contraire , lorsque Moore était présent , quoiqu ' il n ' exerçât jamais la patience du chat et se bornât à le prendre sur le tabouret et à le mettre sur ses genoux , où le caressant animal pouvait tout à son aise faire la roue , grimper sur son épaule et se frotter contre sa joue ; quoiqu ' il n ' y eût pendant qu ' il demeurait là ni bruit , ni explosion d ' armes à feu , ni diffusion de l ' odeur sulfureuse de la poudre , Caroline restait là assise , et semblait prendre un plaisir tout particulier à confectionner des pelotes à épingles pour la corbeille des Juifs ou des chaussons pour celle des missionnaires .
gallica15	odeur	poudre	sulfureuse	Au contraire , lorsque Moore était présent , quoiqu ' il n ' exerçât jamais la patience du chat et se bornât à le prendre sur le tabouret et à le mettre sur ses genoux , où le caressant animal pouvait tout à son aise faire la roue , grimper sur son épaule et se frotter contre sa joue ; quoiqu ' il n ' y eût pendant qu ' il demeurait là ni bruit , ni explosion d ' armes à feu , ni diffusion de l ' odeur sulfureuse de la poudre , Caroline restait là assise , et semblait prendre un plaisir tout particulier à confectionner des pelotes à épingles pour la corbeille des Juifs ou des chaussons pour celle des missionnaires .
gallica15	parfum	fleurs		Hall se tenait debout près d ' une fenêtre ouverte , respirant l ' air et le parfum des fleurs , et causant comme un frère avec miss Ainley .
gallica15	parfums	fleurs du jardin	embaumés	» Entrant dans la maison , elles se dirigèrent vers l ' obscure salle à manger , à travers les fenêtres ouvertes de laquelle entrait l ' air du soir apportant les parfums embaumés des fleurs du jardin , le son lointain des pas qui s ' éloignaient sur la route , et un doux et vague murmure dont Caroline expliqua l ' origine par cette remarque faite pendant qu ' elle écoulait à la fenêtre : « Shirley , j ' entends le ruisseau de Hollow .
gallica15	parfums	fleurs du jardin	embaumés	» Entrant dans la maison , elles se dirigèrent vers l ' obscure salle à manger , à travers les fenêtres ouvertes de laquelle entrait l ' air du soir apportant les parfums embaumés des fleurs du jardin , le son lointain des pas qui s ' éloignaient sur la route , et un doux et vague murmure dont Caroline expliqua l ' origine par cette remarque faite pendant qu ' elle écoulait à la fenêtre : « Shirley , j ' entends le ruisseau de Hollow .
gallica15	parfum	fleurs	fort	Elles prirent leur repas en silence : Caroline se leva une fois pour déposer sur la fenêtre un vase de fleurs qui était sur le buffet , et dont le parfum était trop fort pour cette chambre chaude .
gallica15	parfum	fleurs	fort	Elles prirent leur repas en silence : Caroline se leva une fois pour déposer sur la fenêtre un vase de fleurs qui était sur le buffet , et dont le parfum était trop fort pour cette chambre chaude .
gallica15	senteurs	mignonnette|églantier		Elle a accoutumé au frôlement de sa robe de soie le corridor sombre à une seule fenêtre , qu ' elle traverse à chaque instant d ' une chambre à l ' autre , tantôt portant des fleurs dans le barbare salon fleur de pêcher , tantôt entrant dans la salle à manger pour en ouvrir les fenêtres afin d ' y laisser pénétrer les senteurs de la mignonnette et de l ' églantier , d ' autres fois portant au soleil , à la porte du porche , les plantes qui étaient sur la fenêtre de l ' escalier .
gallica15	parfum	fleurs des haies|rose moussue	suave	Elle était contente de se soustraire pour quelques heures à la solitude , à la tristesse , au cauchemar de sa vie ; de descendre en courant la pente verdoyante qui conduisait à Hollow , de respirer le parfum des fleurs des haies , plus suave que celui du lis ou de la rose moussue , À la vérité , elle savait que Robert n ' était point au cottage , mais c ' était un plaisir pour elle d ' aller où il avait récemment été ; après avoir été séparée de lui pendant si longtemps , voir seulement sa maison , entrer dans la chambre qu ' il avait quittée le matin même , lui paraissait presque une réunion .
gallica15	parfum	fleurs des haies|rose moussue	suave	Elle était contente de se soustraire pour quelques heures à la solitude , à la tristesse , au cauchemar de sa vie ; de descendre en courant la pente verdoyante qui conduisait à Hollow , de respirer le parfum des fleurs des haies , plus suave que celui du lis ou de la rose moussue , À la vérité , elle savait que Robert n ' était point au cottage , mais c ' était un plaisir pour elle d ' aller où il avait récemment été ; après avoir été séparée de lui pendant si longtemps , voir seulement sa maison , entrer dans la chambre qu ' il avait quittée le matin même , lui paraissait presque une réunion .
gallica15	exhalait|odeur	sucre brûlé	plus forte|savoureuse	– Les confitures ! elles sont brûlées ? Ah ! quelle négligence coupable ! coquine de cuisinière , fille insupportable ! » Et mademoiselle , prenant dans une armoire un grand tablier de cuisine et l ' attachant sur son tablier noir , se précipita éperdue dans la cuisine , d ' où , à dire vrai , s ' exhalait une odeur de sucre brûlé plus forte que savoureuse .
gallica15	exhalait|odeur	sucre brûlé	plus forte|savoureuse	– Les confitures ! elles sont brûlées ? Ah ! quelle négligence coupable ! coquine de cuisinière , fille insupportable ! » Et mademoiselle , prenant dans une armoire un grand tablier de cuisine et l ' attachant sur son tablier noir , se précipita éperdue dans la cuisine , d ' où , à dire vrai , s ' exhalait une odeur de sucre brûlé plus forte que savoureuse .
gallica15	exhalaisons		empoisonnées	L ' avenir semble quelquefois sangloter un sourd avertissement des événements qu ' il nous apporte , de même qu ' un orage qui se prépare , et qui , par les gémissements du vent , les combats des nuages au ciel , annonce une tempête assez violente pour couvrir la mer de débris , ou pour apporter dans le brouillard sur les îles de l ' Ouest les exhalaisons empoisonnées de l ' Orient , obscurcissant les fenêtres des maisons de l ' Angleterre avec le souffle de la peste indienne .
gallica15	respiré	chèvrefeuilles		« J ' ai respiré les chèvrefeuilles dans la vallée ce matin , lorsque j ' étais debout à la fenêtre du comptoir , » dit - elle .
gallica15	odorante	essence		Elle réunit ses cheveux dont les boucles étaient éparses ; elle rafraîchit son front humide de sueur avec une fraîche et odorante essence .
gallica16	iodoformée	gaze		Malgré un tamponnement à la gaze iodoformée , on verra s ' effectuer une sorte d ' affaissement des tissus mous , ce qui est impossible avec nos appareils volumineux .
gallica16	antiseptiques|iodoformée	gaze		L ' auteur dont nous venons de parler semble aussi s ' illusionner sur les propriétés antiseptiques d ' une gaze iodoformée sans cesse imbibée de salive , de détritus alimentaires etc .
gallica16	odeur|iodoforme			Nous ne croyons pas que les malades puissent s ' astreindre à supporter l ' odeur et le goût de l ' iodoforme qui ne peut moins faire que d ' imprégner les * déglutitions .
gallica16	ichor fétide			Voici sous quelle forme : Sa lèvre inférieure en totalité ( ou du moins les téguments qui ont déjà servi à constituer cette lèvre ) est remplacée en hauteur et en largeur , par une surface bourgeonnante sanieuse avec ichor fétide , d aspect manifestement cancroïdal .
gallica17	odeur	formes	très - prononcée	par les faiseurs du jour : on fera une loi pénale """" contre les répugnances qu ' inspire une odeur très - prononcée et des formes hideuses , ou commandera despotiquement au goût et au tempérament ; la fine ordonnance est là , et les conséquences logiques ' à la S .
gallica17	odeur	formes	très - prononcée	par les faiseurs du jour : on fera une loi pénale """" contre les répugnances qu ' inspire une odeur très - prononcée et des formes hideuses , ou commandera despotiquement au goût et au tempérament ; la fine ordonnance est là , et les conséquences logiques ' à la S .
gallica17	inodore	fleur		fleur inodore et partant rare de nos climats .
gallica18	aromes		pénétrants	Une bouffée d ' aromes pénétrants vient nous envelopper au passage d ' une étroite venelle aux profondeurs mystérieuses où , dans une demi - obscurité piquée de turbans blancs , scintillent de minces feuilles de cuivre battu que le moindre souffle fait cliqueter .
gallica18	parfum	orangers		La beauté du ciel , le parfum des orangers , la douceur de la température ajoutaient encore à l ' agrément de ces réunions qui se prolongeaient au milieu de la nuit .
gallica18	odeur		alcoolique insupportables	Puis , au moment où l ' on était sans défiance , elles se jetaient à notre cou avec des airs de tendresse filiale et une odeur alcoolique insupportables .
gallica18	senteur	eaux	fraîche	C ' est là qu ' il s ' abandonne parfois à la cau - serie , ranimé par la fraîche senteur des eaux , ému par la splendeur incomparable des couchers de soleil qui font flamboyer les lointaines pyramides .
gallica18	senteur	eaux	fraîche	C ' est là qu ' il s ' abandonne parfois à la cau - serie , ranimé par la fraîche senteur des eaux , ému par la splendeur incomparable des couchers de soleil qui font flamboyer les lointaines pyramides .
gallica18	exhalant|odeur	squelettes|bitume		A ces époques reculées , l ' art des embaumements était encore dans l ' enfance sans doute , car en ouvrant les cercueils on ne trouve que des squelettes dépourvus de linges , exhalant l ' odeur du bitume .
gallica18	odorante	matière	très	En levant ce couvercle , on ne rencontra point de momie mais il resta sur le sol du rocher un monceau tout noir ayant la forme de la cavité du bois dans laquelle il s ' était moulé : c ' était encore une matière bitumineuse très odorante , tombant en poussière au toucher et remplie de petits ossements déjà brisés avant lâ sépulture .
gallica18	odorante	matière	très	En levant ce couvercle , on ne rencontra point de momie mais il resta sur le sol du rocher un monceau tout noir ayant la forme de la cavité du bois dans laquelle il s ' était moulé : c ' était encore une matière bitumineuse très odorante , tombant en poussière au toucher et remplie de petits ossements déjà brisés avant lâ sépulture .
gallica18	odorant	bitume		Quant à l ' intérieur , il ne présentait plus qu ' une masse de bitume odorant , mêlée d ' ossements sans forme , au milieu desquels furent trouvés deux ou trois bijoux à cloisons d ' or emplies de plaquettes de verre .
gallica18	exhale|fumet	kébâb	accentué	Nous cheminons parmi des échoppes d ' où s ' exhale un fumet accentué : des rôtisseurs sont occupés à préparer le kébâb , tant aimé du fellah , ce plat de cinq sous que s ' accordent seuls les heureux de la journée .
gallica18	exhale|fumet	kébâb	accentué	Nous cheminons parmi des échoppes d ' où s ' exhale un fumet accentué : des rôtisseurs sont occupés à préparer le kébâb , tant aimé du fellah , ce plat de cinq sous que s ' accordent seuls les heureux de la journée .
gallica18	odorat|senteur	hachîch	âcre	Dans le premier coude qui semblait interrompre le chemin ( celui qu ' on aperçoit à l ' arrière - plan de notre dessin ) , l ' odorat est saisi par la senteur âcre du hachîch : c ' est que l ' ancienne logette du bawwâb ou guichetier de l ' émir Bechtâk est devenu un petit café où l ' on vend le narcotique aux pauvres gens .
gallica18	odorat|senteur	hachîch	âcre	Dans le premier coude qui semblait interrompre le chemin ( celui qu ' on aperçoit à l ' arrière - plan de notre dessin ) , l ' odorat est saisi par la senteur âcre du hachîch : c ' est que l ' ancienne logette du bawwâb ou guichetier de l ' émir Bechtâk est devenu un petit café où l ' on vend le narcotique aux pauvres gens .
gallica18	odeurs|odeurs		bonnes	La première des portes est celle de Bâb èzZouhmlma - , porte des odeurs de cuisine , située à peu près au débouché de la petite ruelle des libraires et des babouches dans la grande artère du Khân - Khalîl , ainsi appelée parce que les cuisines , placées de l ' autre côté de la rue où sont aujourd ' hui les orfèvres et les chaudronniers , communiquaient par un souterrain et répandaient les bonnes odeurs qui devaient allécher les passants .
gallica18	parfumée	Pierre		La façade nord suivait à peu près le contour de la charmante ruelle dite Khatt er - Rokn , ou de la Pierre parfumée , vers le milieu de laquelle s ' ouvrait Bâb erRîh , la porte du Vent ou du Nord , ainsi désignée parce que le vent du Nord est le seul qui apporte la fraicheur , Toutes les terrasses des vieilles maisons ont encore des bouches d ' appel , kamaryeh , tournées dans cette direction .
gallica18	odeur|émanations	encens|vieux bois pourris	fade	Une odeur fade est partout répandue , mélange des vapeurs tièdes de l ' encens et des émanations des vieux bois pourris ; et cependant la tribune du chœur accuse encore , sous la poussière des siècles , une ornementation charmante .
gallica18	odeur|émanations	encens|vieux bois pourris	fade	Une odeur fade est partout répandue , mélange des vapeurs tièdes de l ' encens et des émanations des vieux bois pourris ; et cependant la tribune du chœur accuse encore , sous la poussière des siècles , une ornementation charmante .
gallica18	odeurs		mauvaises	De là des pestes fréquentes , et ceux des habitants qui survivaient étaient d ' un tempérament souffreteux et montraient un caractère poltron , mécontent et inhospitalier ; quelques - uns allèrent s ' établir sur la colline du Sud , où le vent du Nord leur apportait , il est vrai , de mauvaises odeurs , mais où ils trouvaient au moins de meilleure eau .
gallica18	senteurs	sève	fraîches	La nature paraît aujourd ' hui tout imprégnée de jeunesse et de joie ; du ciel doux et pâle souffle un vent léger qui fait ondoyer les cimes des grands blés verts et répand dans les airs les fraîches senteurs de la sève .
gallica18	senteurs	sève	fraîches	La nature paraît aujourd ' hui tout imprégnée de jeunesse et de joie ; du ciel doux et pâle souffle un vent léger qui fait ondoyer les cimes des grands blés verts et répand dans les airs les fraîches senteurs de la sève .
gallica18	vapeurs	mercurielles		Avait - il seulement prévu l ' effet vénéneux des vapeurs mercurielles ? Revenant à l ' angle sud , nous prenons la rue solitaire d ' EzZyadeh dont le côté gauche est orné encore de jolies maisons anciennes , jadis fort soignées , aujourd ' hui tombant en ruines et qui ont dû être occupées par les dignitaires de la mosquée avant sa décadence .
gallica19	parfum	saffran|fleur|gingembre|essence|rose	puissant	Noble rival de l ' or , le saffran , tendre fleur Au plus puissant parfum , à la vive couleur , Le gingembre piquant , l ' essence de la rose , De l ' Hymette où l ' abeille , en une feuille éclose , Trouve un trésor si doux , balsamique butin , ■ ■ \ .
gallica19	parfum	saffran|fleur|gingembre|essence|rose	puissant	Noble rival de l ' or , le saffran , tendre fleur Au plus puissant parfum , à la vive couleur , Le gingembre piquant , l ' essence de la rose , De l ' Hymette où l ' abeille , en une feuille éclose , Trouve un trésor si doux , balsamique butin , ■ ■ \ .
gallica22	émanations		préjudiciables	Les femmes , filles et enfants ne peuvent être employés dans des établissements insalubres ou dangereux , où l ' ouvrier est exposé à des manipulations ou à des émanations préjudiciables à sa santé , que sous les conditions spéciales déterminées par des règlements d ' administration publique pour chacune de ces catégories de travailleurs .
gallica22	émanations		nuisibles	) Cendres d ' orfèvre ( Traitement des ) par le plomb : Maladies spéciales dues aux émanations nuisibles .
gallica22	émanations	Fonte|du plomb		Fonte et laminage du plomb : REGLEMENTATION DU TRAVAIL 43 Maladies spéciales dues aux émanations .
gallica22	émanations	Sulfate de mercure		— Sulfate de mercure ( Fabrication du ) : Maladies spéciales dues aux émanations .
gallica22	vapeurs	sulfure de carbone|benzine	nuisibles	( Les enfants audessous de 18 ans , filles mineures et femmes , ne seront pas employés dans les ateliers où se dégagent les vapeurs de sulfure de carbone et de benzine ) : Vapeurs nuisibles .
gallica22	vapeurs	sulfure de carbone|benzine	nuisibles	( Les enfants audessous de 18 ans , filles mineures et femmes , ne seront pas employés dans les ateliers où se dégagent les vapeurs de sulfure de carbone et de benzine ) : Vapeurs nuisibles .
gallica22	vapeurs		acides|nuisibles	( Les enfantsau - dessous de 18 ans , filles mineures et femmes ne seront pas employés dans les ateliers où se dégagent des vapeurs acides ) : Vapeurs nuisibles .
gallica22	vapeurs		nuisibles	t à l ' emploi des vernis ) : Danger d ' incendie et vapeurs nuisibles .
gallica22	Parfums	fleurs		Parfums des fleurs ( Extraction des ) 90 jours .
gallica22	parfums	Fleurs		— Lait ( établissements industriels pour le traitement du lait ) ; — Bijouterie et joaillerie ; — Biscuits employant le beurre frais ( Fabriques de ) ' ; — Blanchisserie de linge fin ; — Boites de conserves ( Fabrique de et imprimerie sur métaux pour ) ; — Bonneterie fine ( Fabrication de ) ; — Briqueteries en plein air ; — Brochage des imprimés ; — Broderie et passementerie pour confections ; — Cartons ( Fabriques de ) pour jouets , bonbons , cartes de visite , rubans ; — Chapeaux ( Fabrication et confection de ) en toutes matières pour hommes et femmes ; — Chaussures ( Fabrication de ) ; — Coloriage ou patron à la main ; — Colles et gélatines ( Fabrication de ) ; — Confections , coutures et lingeries pour femmes et enfants ; — Confections pour hommes ; — Confections en fourrures ; — Confection et réparation des voiles des navires armés pour la grande pêche ; — Conserves de fruits et confiseries ; conserves de légumes et de poissons ; — Corderies en plein air ; — Corsets ( Confection de ) ; — Couronnes funéraires ( Fabrique de ) ; — Délainage des peaux de mouton ; — Dorure pour ameublement ; — Dorure pour encadrement ; — Etablissements industriels dans lesquels sont exécutés des travaux sur l ' ordre du gouvernement et dans l ' intérêt de la sûreté et de la défense nationale , après avis des ministres intéressés , constatant expressément la nécessité de la dérogation ; — Filatures , retordage de fils crépis , bouclés et à boutons , des fils moulinés et multicolores ; — Fleurs ( Extraction des parfums des ) ; — Fleurs et plumes ; — Gainerie ; ■ — Impression de la laine peignée , blanchissage , teinture et impression des fils de laine , de coton et de soie destinés au tissage des étoffes de nouveauté ; — Imprimeries en tailledouce ; — Imprimeries lithographiques ; — Imprimeries typographiques ; — Jouets , bimbeloterie , petite tabletterie et articles de Paris ( Fabrique de ) ; — Orfèvrerie ( Polissage , dorure , gravure , ciselage , guillochage et planage en ) ( Décret 4 juill .
gallica22	odeur		aucune	formés de matériaux imperméables et bien joints ; ils présenteront une pente dans la direction du tuyau d ' écoulement et ^ lerout aménagés de façon à ne dégager aucune odeur .
gallica22	odeur		aucune	Ils seront éclairés et aménagés de manière à no dégager aucune odeur .
gallica22	odeur	produits gazeux		— RÉGLEMENTATION DU TRAVAIL 69 Acide pyroligneux ( Fabrication de 1 ' ) : i ° Quand les produits gazeux ne sont pas brûlés : Fumée et odeur ( 2e cl .
gallica22	Odeur|émanations		nuisibles	— Amidonneries : i ° Par fermentation : Odeur , émanations nuisibles et altération des eaux ( i ' » cl .
gallica22	émanations	Anhydride sulfurique|oxigène	dangereuses	1899 : Anhydride sulfurique ( Fabrication de 1 ' ) , par la combinaison de l ' acide sulfurique et de l ' oxigène , au moyen des substances dites de contact : Fumées , émanations dangereuses ( ire cl .
gallica22	émanations	Anhydride sulfurique|oxigène	dangereuses	1899 : Anhydride sulfurique ( Fabrication de 1 ' ) , par la combinaison de l ' acide sulfurique et de l ' oxigène , au moyen des substances dites de contact : Fumées , émanations dangereuses ( ire cl .
gallica22	Odeur	poussière		— Battage , RÉGLEMENTATION DU TRAVAIL 71 cardage et épuration des laines , crins et plumes de literie : Odeur et poussière ( 30 cl .
gallica22	Odeur|émanations			) — Betteraves ( Dépôts de pulpes de ) humides destinées à la vente : Odeur et émanations ( 30 cl .
gallica22	Odeur|émanations		nuisibles	— Blanchiment : i ° Des fils , des toiles et de la pâte à papier par le chlore : Odeur , émanations nuisibles ( ï « cl .
gallica22	Odeur|émanations		nuisibles	\ — Boyauderies ( Travail des boyaux frais pour tous usages ) : Odeur , émanations nuisibles ( iro cl .
gallica22	Odeur	Café		Café ( Torréfaction en grand du ) : Odeur et fumée ( 30 cl .
gallica22	Odeur	poussières nuisibles		Ajfiiité , Décret 24 juin 1897 : Carhure de calcium et carbure présentant des dangers analogues ( Fabrication de ) : Odeur et poussières nuisibles ( iro cl .
gallica22	Odeur	Chicorée		— Chicorée ( Torréfaction en grand de la ) : Odeur et fumée ( 50 cl .
gallica22	Odeur	résidus		— • Ajouté , Décret 21 juin 1897 : Colles de peaux et colles de pâtes ( Fabrique de ) : Odeur des résidus ( 3e cl .
gallica22	Odeur|émanations	Cuivre	nuisibles	— Cuivre ( Dérochage du ) par les acides : Odeur , émanations nuisibles ( 3e cl .
gallica22	Odeur|émanations	Cuivre	nuisibles	— Cuivre ( Dérochage du ) par les acides : Odeur , émanations nuisibles ( 3e cl .
