Pos	Smell_Word	Smell_Source	Odour_Carrier	Perceiver	Quality	Effect	Evoked_Odorant	Creator	Circumstances	Location	Time	Emotion	Emotion_Type	Emotion_Sentiment	Emotion_Other	Title	Annotator	Sentence
6-54	aromatic	pot-herbs			aromatic					of our gardens						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The Geraniums in the cottage window bring us the spicy\tfragrance of the South African hills ; the Lavender bush ofthe sunny hills of Provence, where it is at home ; theRoses in the garden bring near us the breath of the wildRoses on a thousand hills ; the aromatic pot-herbs of ourgardens are a gift of the shore-lands of France and Italy andGreece.
9-7	fragrant	bushes		us	fragrant					our gardens						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	And so we see how the fragrant bushes our gardensmay entwine for us, apart from their gift of fragrance, living\tassociations and beautiful thoughts for ever famous in humanstory.
9-21	fragrance	bushes														001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	And so we see how the fragrant bushes our gardensmay entwine for us, apart from their gift of fragrance, living\tassociations and beautiful thoughts for ever famous in humanstory.
10-15	odour	these trees and climbers										loved by all	Love	Positive		001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	It is not only these trees and climbers, loved by all fortheir odour, we have to think of, but many delicate ones,1 ‘ What you call advantageous, Solon, is for these men to becrowned in view of all the world, who just before were objects of pityfrom their wounds : and yet it seems they think themselves happy ifin return for all their labours they can get a bunch of Laurel .’ — Fromthe Greek of Lucian.little thought of, perhaps, from the blossoms that give itbeing without showy colour, as the fragrant American wildVine.
10-112	fragrant	American wild Vine			fragrant											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	It is not only these trees and climbers, loved by all fortheir odour, we have to think of, but many delicate ones,1 ‘ What you call advantageous, Solon, is for these men to becrowned in view of all the world, who just before were objects of pityfrom their wounds : and yet it seems they think themselves happy ifin return for all their labours they can get a bunch of Laurel .’ — Fromthe Greek of Lucian.little thought of, perhaps, from the blossoms that give itbeing without showy colour, as the fragrant American wildVine.
14-21	fragrant	plants | flowers			fragrant											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Of the many considerations that should occur in themaking of a beautiful garden to live in, this of fragrantplants and flowers is one of the first.
15-16	odorous	things			odorous					our open-air gardens						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	And happily amongevery class of flowers which adorn our open-air gardens,there are odorous things to be found.
16-36	fragrance	Roses | Violets | the annual and biennial flowers			sweet | rich					of our gardens						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Apart from thegroups of plants in which all, or nearly all, are sweet, asin Roses and Violets, the annual and biennial flowers of\tour gardens, are rich in fragrance, Stocks, Mignonette,Sweet Peas, Sweet Sultan and Wallflowers, Double Rockets, Sweet Scabious, and many others, the odours of which arenot always so popular.
16-61	odours	Stocks										not always so popular | not always so popular	Disgust | Disgust	Negative | Negative	 | 	001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Apart from thegroups of plants in which all, or nearly all, are sweet, asin Roses and Violets, the annual and biennial flowers of\tour gardens, are rich in fragrance, Stocks, Mignonette,Sweet Peas, Sweet Sultan and Wallflowers, Double Rockets, Sweet Scabious, and many others, the odours of which arenot always so popular.
18-7	odours		The garden borders	us	precious		as any breath of tropic Orchid									001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The garden borders bear for us odours as precious asany breath of tropic Orchid : from the Lily of the Valleyto the Carnation — this last being perhaps the most gratefulodour of all the flowering host in our garden land.
18-34	odour	the Carnation								in our garden land		the most grateful | the most grateful	Joy | Joy	Positive | Positive	 | 	001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The garden borders bear for us odours as precious asany breath of tropic Orchid : from the Lily of the Valleyto the Carnation — this last being perhaps the most gratefulodour of all the flowering host in our garden land.
19-51	sweetness	Woodruff			delicate											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Amongthese borders one meets with things sweeter than words maytell of — Woodruff, Balm, Pinks, Violets, garden Primroses,Polyanthus, day and other Lilies, early Iris, Narcissus,evening Primroses, Mezereon Bush, Wallflower and Pansies,delicate in their sweetness.
20-8	fragrance	Magnolia | Thorn | Daphne | Lilac			delicate											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	No one may be richer in delicate fragrance than the wiseman who plants hardy shrubs and flowering trees — Magnolia, Thorn, Daphne, Lilac — names each telling of wholefamilies of delightful things.
21-9	odour	shrubs | the hardy Heaths			very strong											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Among shrubs, those withoutany very strong odour, like the hardy Heaths, are all themore pleasant to many whose memories are often touched\tby remembered fragrance of some plant they do not alwaysknow.
21-30	fragrance	of some plant they do not always know										remembered | the more pleasant | remembered | the more pleasant	Nostalgia | Joy | Nostalgia | Joy	 | Positive |  | Positive	 |  |  | 	001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Among shrubs, those withoutany very strong odour, like the hardy Heaths, are all themore pleasant to many whose memories are often touched\tby remembered fragrance of some plant they do not alwaysknow.
22-47	fragrance	the Winter Sweet			delicious						in mid-winter					001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	From the same regions where we found the Laureland the Myrtle we have the Laurustinus, beautiful in allour sea-coast and milder districts, and many other lovelythings happy in our climate : one, the Winter Sweet, evenpouring out delicious fragrance in mid-winter : Sweet Gale,that grows in any boggy place, Azalea, Allspice, and thedelightful little Mayflower that creeps about in the woodland shades in North America.
23-22	fragrant	shrubs			fragrant				our climate is kind							001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	So, though we cannot boastN of Lemon or Orange groves, our climate is kind to manylovely and fragrant shrubs.
29-22	breath	of its myriad blossoms of Cherry , Plum , Apple , or Pear	the spring winds													001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Planted for use, it was as preciousfor its beauty, and not only when the spring winds carrythe breath of its myriad blossoms of Cherry, Plum, Apple,or Pear.
30-5	odours	the fruit														001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	We have the fruit odours too, and the faint scentof Strawberries, and later their leaves, and the Currant leaves.
30-11	scent	of Strawberries | their leaves | the Currant leaves			faint						later					001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	We have the fruit odours too, and the faint scentof Strawberries, and later their leaves, and the Currant leaves.
33-44	fragrant	autumn Clematis | Honeysuckles | Climbing Wild Roses			fragrant											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Then, with Violets and Primroses on the banks they may be delightfully sheltered from the north and east by a grove of our native evergreens — Holly and Yew — these, in their turn, wreathed here and there with the fragrant autumn Clematis, Honeysuckles, and Climbing Wild Roses.
35-37	perfumes	the beautiful gems	a balmy atmosphere		sweet					our gardens						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	MONO the many enjoyments this fascinating world affords, none are more innocent or enticing than close association with the beautiful gems that so happily grace our gardens, where a balmy atmosphere laden with sweet perfumes and aromatic fragrance, rich and embowering foliage, with rural seclusion, are ever perfect ideas of earthly felicity — ‘ In the calm retreat, Far from the busy haunts of life, Where Flora trains her lovely offspring up To captivate and charm.’
35-40	fragrance	the beautiful gems	a balmy atmosphere		aromatic					our gardens						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	MONO the many enjoyments this fascinating world affords, none are more innocent or enticing than close association with the beautiful gems that so happily grace our gardens, where a balmy atmosphere laden with sweet perfumes and aromatic fragrance, rich and embowering foliage, with rural seclusion, are ever perfect ideas of earthly felicity — ‘ In the calm retreat, Far from the busy haunts of life, Where Flora trains her lovely offspring up To captivate and charm.’
36-28	scented	of flowers | plants			scented				on all occasions whether of grief or rejoicing | in the religious festivals of all creeds	In all countries , civilised and savage						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	In all countries, civilised and savage, in the religious festivals of all creeds, and on all occasions whether of grief or rejoicing, the scented attractions of flowers and plants possess an important significance, and Nature seems to have been most bountiful in her munificence in scattering these odoriferous treasures throughout our world, to give cheerfulness to the earth and happiness to its inhabitants.
36-53	odoriferous	treasures								throughout our world		odoriferous | to give cheerfulness to the earth and happiness to its inhabitants | to give cheerfulness to the earth and happiness to its inhabitants	Smell_Word | Joy | Joy	 | Positive | Positive	 |  | 	001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	In all countries, civilised and savage, in the religious festivals of all creeds, and on all occasions whether of grief or rejoicing, the scented attractions of flowers and plants possess an important significance, and Nature seems to have been most bountiful in her munificence in scattering these odoriferous treasures throughout our world, to give cheerfulness to the earth and happiness to its inhabitants.
37-19	smell	treasures		Every rank of people												001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Every rank of people seem equally to appreciate them as a gratification to the organs of sight and smell.
38-3	odours				The refreshing					in a garden						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The refreshing odours prevalent in a garden, where the richest perfumes shed their aromatic perfections lavishly around, are the spoils from Nature’s laboratory, that dispense delicious medicines to sweeten our existence.
38-12	perfumes				the richest											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The refreshing odours prevalent in a garden, where the richest perfumes shed their aromatic perfections lavishly around, are the spoils from Nature’s laboratory, that dispense delicious medicines to sweeten our existence.
38-15	aromatic				aromatic											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The refreshing odours prevalent in a garden, where the richest perfumes shed their aromatic perfections lavishly around, are the spoils from Nature’s laboratory, that dispense delicious medicines to sweeten our existence.
39-17	fragrance	flowers			most gratifying to the senses											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	There are many common flowers to be found growing in our meadows which diffuse a gentle fragrance most gratifying to the senses : and, much as we are concerned with the odour of those flowers and shrubs which are to be met with in our gardens and greenhouses, the wild forms are a source of the keenest pleasure to all.
39-33	odour	of those flowers and shrubs								in our gardens and greenhouses		the wild forms are a source of the keenest pleasure to all	Joy	Positive		001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	There are many common flowers to be found growing in our meadows which diffuse a gentle fragrance most gratifying to the senses : and, much as we are concerned with the odour of those flowers and shrubs which are to be met with in our gardens and greenhouses, the wild forms are a source of the keenest pleasure to all.
1-64	odour	Australian Bush			most delicate							lovely	Joy	Positive		001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	enormous tropical forests, little known to man,and from which he gathers here and there the treasures forour orchid- and greenhouses ; great island conservatories likeJava and Ceylon and Borneo, rich in spices and lovely plantlife : Australian Bush, with traces of plant life as if from\tanother world, but often most delicate in odour even in thefragments of them we see in our greenhouses.
2-11	odours		the fragile flower-vases		sweet											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	It is not only from the fragile flower-vases these sweetodours flow; they breathe through leaf and stem, and thewhole being of many trees and bushes, from the statelyCum trees of Australia to the sweet Verbena of Chili.
2-14	odours		odours | stem | leaf													001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	It is not only from the fragile flower-vases these sweetodours flow; they breathe through leaf and stem, and thewhole being of many trees and bushes, from the statelyCum trees of Australia to the sweet Verbena of Chili.
3-10	scent	of the Boxbush			strange							charm	Joy	Positive		001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Manymust have felt the charm of the strange scent of the Boxbush before Oliver Wendell Holmes told us of its ‘ breathingthe fragrance of eternity, for this is one of the odours whichcarry us out of time into the abysses of the unbeginningpast.’
3-25	fragrance	of the Boxbush		Oliver Wendell Holmes												001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Manymust have felt the charm of the strange scent of the Boxbush before Oliver Wendell Holmes told us of its ‘ breathingthe fragrance of eternity, for this is one of the odours whichcarry us out of time into the abysses of the unbeginningpast.’
3-35	odours			us		which carry us out of time into the abysses of the unbeginning past | which carry us out of time into the abysses of the unbeginning past										001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Manymust have felt the charm of the strange scent of the Boxbush before Oliver Wendell Holmes told us of its ‘ breathingthe fragrance of eternity, for this is one of the odours whichcarry us out of time into the abysses of the unbeginningpast.’
4-2	scent	of flowers | of the Tuberose			cloying											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The scent of flowers is often cloying, as of theTuberose, while that of leaves is often delightful and refreshing, as in the green budding Larch, and in the leaves of Balmand Rosemary, while in many cases fragrance is stored in thewood and permeates down through the roots.
4-15	scent	scent | of leaves | in the green budding Larch | in the leaves of Balm and Rosemary			delightful | refreshing											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The scent of flowers is often cloying, as of theTuberose, while that of leaves is often delightful and refreshing, as in the green budding Larch, and in the leaves of Balmand Rosemary, while in many cases fragrance is stored in thewood and permeates down through the roots.
4-44	fragrance		in the wood						in many cases							001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The scent of flowers is often cloying, as of theTuberose, while that of leaves is often delightful and refreshing, as in the green budding Larch, and in the leaves of Balmand Rosemary, while in many cases fragrance is stored in thewood and permeates down through the roots.
6-11	fragrance	The Geraniums | the Lavender bush			spicy		of the South African hills | of the sunny hills of Provence			in the cottage window						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The Geraniums in the cottage window bring us the spicy\tfragrance of the South African hills ; the Lavender bush ofthe sunny hills of Provence, where it is at home ; theRoses in the garden bring near us the breath of the wildRoses on a thousand hills ; the aromatic pot-herbs of ourgardens are a gift of the shore-lands of France and Italy andGreece.
6-54	aromatic	pot-herbs			aromatic					of our gardens						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The Geraniums in the cottage window bring us the spicy\tfragrance of the South African hills ; the Lavender bush ofthe sunny hills of Provence, where it is at home ; theRoses in the garden bring near us the breath of the wildRoses on a thousand hills ; the aromatic pot-herbs of ourgardens are a gift of the shore-lands of France and Italy andGreece.
9-7	fragrant	bushes		us						our gardens		fragrant | living associations and beautiful thoughts for ever famous in human story .	Smell_Word | Joy	 | Positive	 | 	001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	And so we see how the fragrant bushes our gardensmay entwine for us, apart from their gift of fragrance, living\tassociations and beautiful thoughts for ever famous in humanstory.
9-21	fragrance	bushes														001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	And so we see how the fragrant bushes our gardensmay entwine for us, apart from their gift of fragrance, living\tassociations and beautiful thoughts for ever famous in humanstory.
10-15	odour	these trees and climbers														001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	It is not only these trees and climbers, loved by all fortheir odour, we have to think of, but many delicate ones,1 ‘ What you call advantageous, Solon, is for these men to becrowned in view of all the world, who just before were objects of pityfrom their wounds : and yet it seems they think themselves happy ifin return for all their labours they can get a bunch of Laurel .’ — Fromthe Greek of Lucian.little thought of, perhaps, from the blossoms that give itbeing without showy colour, as the fragrant American wildVine.
10-112	fragrant	American wild Vine			fragrant											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	It is not only these trees and climbers, loved by all fortheir odour, we have to think of, but many delicate ones,1 ‘ What you call advantageous, Solon, is for these men to becrowned in view of all the world, who just before were objects of pityfrom their wounds : and yet it seems they think themselves happy ifin return for all their labours they can get a bunch of Laurel .’ — Fromthe Greek of Lucian.little thought of, perhaps, from the blossoms that give itbeing without showy colour, as the fragrant American wildVine.
14-21	fragrant	plants | flowers			fragrant											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Of the many considerations that should occur in themaking of a beautiful garden to live in, this of fragrantplants and flowers is one of the first.
15-16	odorous	things								our open-air gardens		odorous | And happily among every class of flowers	Smell_Word | Joy	 | Positive	 | 	001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	And happily amongevery class of flowers which adorn our open-air gardens,there are odorous things to be found.
16-36	fragrance	Roses | Violets | the annual and biennial flowers			sweet | rich					of our gardens						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Apart from thegroups of plants in which all, or nearly all, are sweet, asin Roses and Violets, the annual and biennial flowers of\tour gardens, are rich in fragrance, Stocks, Mignonette,Sweet Peas, Sweet Sultan and Wallflowers, Double Rockets, Sweet Scabious, and many others, the odours of which arenot always so popular.
16-61	odours	Stocks			not always so popular							enjoyed	Joy	Positive		001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Apart from thegroups of plants in which all, or nearly all, are sweet, asin Roses and Violets, the annual and biennial flowers of\tour gardens, are rich in fragrance, Stocks, Mignonette,Sweet Peas, Sweet Sultan and Wallflowers, Double Rockets, Sweet Scabious, and many others, the odours of which arenot always so popular.
18-7	odours		The garden borders	us	precious		as any breath of tropic Orchid									001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The garden borders bear for us odours as precious asany breath of tropic Orchid : from the Lily of the Valleyto the Carnation — this last being perhaps the most gratefulodour of all the flowering host in our garden land.
18-34	odour	the Carnation			the most grateful					in our garden land						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The garden borders bear for us odours as precious asany breath of tropic Orchid : from the Lily of the Valleyto the Carnation — this last being perhaps the most gratefulodour of all the flowering host in our garden land.
19-51	sweetness	Woodruff			delicate											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Amongthese borders one meets with things sweeter than words maytell of — Woodruff, Balm, Pinks, Violets, garden Primroses,Polyanthus, day and other Lilies, early Iris, Narcissus,evening Primroses, Mezereon Bush, Wallflower and Pansies,delicate in their sweetness.
20-8	fragrance	Magnolia | Thorn | Daphne | Lilac			delicate											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	No one may be richer in delicate fragrance than the wiseman who plants hardy shrubs and flowering trees — Magnolia, Thorn, Daphne, Lilac — names each telling of wholefamilies of delightful things.
21-9	odour	shrubs | the hardy Heaths			very strong							the more pleasant	Joy	Positive		001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Among shrubs, those withoutany very strong odour, like the hardy Heaths, are all themore pleasant to many whose memories are often touched\tby remembered fragrance of some plant they do not alwaysknow.
21-30	fragrance	of some plant they do not always know			remembered							the more pleasant	Joy	Positive		001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Among shrubs, those withoutany very strong odour, like the hardy Heaths, are all themore pleasant to many whose memories are often touched\tby remembered fragrance of some plant they do not alwaysknow.
22-47	fragrance	the Winter Sweet			delicious						in mid-winter					001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	From the same regions where we found the Laureland the Myrtle we have the Laurustinus, beautiful in allour sea-coast and milder districts, and many other lovelythings happy in our climate : one, the Winter Sweet, evenpouring out delicious fragrance in mid-winter : Sweet Gale,that grows in any boggy place, Azalea, Allspice, and thedelightful little Mayflower that creeps about in the woodland shades in North America.
23-22	fragrant	shrubs			fragrant				our climate is kind							001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	So, though we cannot boastN of Lemon or Orange groves, our climate is kind to manylovely and fragrant shrubs.
29-22	breath	of its myriad blossoms of Cherry , Plum , Apple , or Pear	the spring winds													001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Planted for use, it was as preciousfor its beauty, and not only when the spring winds carrythe breath of its myriad blossoms of Cherry, Plum, Apple,or Pear.
30-5	odours	the fruit														001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	We have the fruit odours too, and the faint scentof Strawberries, and later their leaves, and the Currant leaves.
30-11	scent	of Strawberries | their leaves | the Currant leaves			faint						later					001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	We have the fruit odours too, and the faint scentof Strawberries, and later their leaves, and the Currant leaves.
33-44	fragrant	autumn Clematis | Honeysuckles | Climbing Wild Roses			fragrant											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Then, with Violets and Primroses on the banks they may be delightfully sheltered from the north and east by a grove of our native evergreens — Holly and Yew — these, in their turn, wreathed here and there with the fragrant autumn Clematis, Honeysuckles, and Climbing Wild Roses.
35-37	perfumes	the beautiful gems	a balmy atmosphere		sweet					our gardens						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	MONO the many enjoyments this fascinating world affords, none are more innocent or enticing than close association with the beautiful gems that so happily grace our gardens, where a balmy atmosphere laden with sweet perfumes and aromatic fragrance, rich and embowering foliage, with rural seclusion, are ever perfect ideas of earthly felicity — ‘ In the calm retreat, Far from the busy haunts of life, Where Flora trains her lovely offspring up To captivate and charm.’
35-40	fragrance	the beautiful gems	a balmy atmosphere		aromatic					our gardens						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	MONO the many enjoyments this fascinating world affords, none are more innocent or enticing than close association with the beautiful gems that so happily grace our gardens, where a balmy atmosphere laden with sweet perfumes and aromatic fragrance, rich and embowering foliage, with rural seclusion, are ever perfect ideas of earthly felicity — ‘ In the calm retreat, Far from the busy haunts of life, Where Flora trains her lovely offspring up To captivate and charm.’
