Pos	Smell_Word	Smell_Source	Odour_Carrier	Perceiver	Quality	Effect	Evoked_Odorant	Creator	Circumstances	Location	Time	Emotion	Emotion_Type	Emotion_Sentiment	Emotion_Other	Title	Annotator	Sentence
40-11	puzzo									luoghi segreti		puzzo	Smell_Word | Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Ora riguardo a '  luoghi segreti, per togliere il puzzo da essi cornuta Diffiojin. labari, tfagric. t. 1. p. 350.
53-8	grave		aria							dell ' interior gabinetto		grave | grave	Disgust | Smell_Word	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	In questa guisa penetrando la fresca e grave aria dell '  atmosfera dell '  interior gabinetto ( non altrimenti di ciò, che avvien ne '  cammini , in cui la premente aria inferior della camefa su per la canna i leggieri globi di fumo urge e promove ) le piti leggiere emanazioni (*) già per natura loro disposte (.1) Comecché lucie più o meno notevoli all '  uomo sono le emanazioni , che escono da cene Saltante , non una è però la natura di esse.
53-53	emanazioni				leggiere											1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	In questa guisa penetrando la fresca e grave aria dell '  atmosfera dell '  interior gabinetto ( non altrimenti di ciò, che avvien ne '  cammini , in cui la premente aria inferior della camefa su per la canna i leggieri globi di fumo urge e promove ) le piti leggiere emanazioni (*) già per natura loro disposte (.1) Comecché lucie più o meno notevoli all '  uomo sono le emanazioni , che escono da cene Saltante , non una è però la natura di esse.
53-76	emanazioni			all ' uomo												1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	In questa guisa penetrando la fresca e grave aria dell '  atmosfera dell '  interior gabinetto ( non altrimenti di ciò, che avvien ne '  cammini , in cui la premente aria inferior della camefa su per la canna i leggieri globi di fumo urge e promove ) le piti leggiere emanazioni (*) già per natura loro disposte (.1) Comecché lucie più o meno notevoli all '  uomo sono le emanazioni , che escono da cene Saltante , non una è però la natura di esse.
61-69	fr.acidi	da ' corpi morti										fr.acidi | fr.acidi	Smell_Word | Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	F, sebbene in tanti altri modi , sogliono ci '  ordinario estricarsi 0 per arte , o spontanee di '  letama;, dal sozzo e impuro fondo delle a innalzarsi premerà per modo, che per fori comunicanti dall '  uno all '  altro su* perior gabinetto obbligate a fuggirsene, su per la cupoletta usciranno, e cosile paludi, da ' corpi morti fr.acidi e putrescenti , da sostanze animali, massimi intestinali, che si cotromnoiio e putrefanno . ( Macn.uer Diz. di Chim. fon noe. dello Scopol. agii articoli Aria fissa infiammabile ce. per tutto quasi il tom. i. ) ; e di tal conio quinci appunto san quelle , che da '  comodi esalano e dalle ( n. i.
61-71	putrescenti	da ' corpi morti														1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	F, sebbene in tanti altri modi , sogliono ci '  ordinario estricarsi 0 per arte , o spontanee di '  letama;, dal sozzo e impuro fondo delle a innalzarsi premerà per modo, che per fori comunicanti dall '  uno all '  altro su* perior gabinetto obbligate a fuggirsene, su per la cupoletta usciranno, e cosile paludi, da ' corpi morti fr.acidi e putrescenti , da sostanze animali, massimi intestinali, che si cotromnoiio e putrefanno . ( Macn.uer Diz. di Chim. fon noe. dello Scopol. agii articoli Aria fissa infiammabile ce. per tutto quasi il tom. i. ) ; e di tal conio quinci appunto san quelle , che da '  comodi esalano e dalle ( n. i.
61-129	esalano									da ' comodi						1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	F, sebbene in tanti altri modi , sogliono ci '  ordinario estricarsi 0 per arte , o spontanee di '  letama;, dal sozzo e impuro fondo delle a innalzarsi premerà per modo, che per fori comunicanti dall '  uno all '  altro su* perior gabinetto obbligate a fuggirsene, su per la cupoletta usciranno, e cosile paludi, da ' corpi morti fr.acidi e putrescenti , da sostanze animali, massimi intestinali, che si cotromnoiio e putrefanno . ( Macn.uer Diz. di Chim. fon noe. dello Scopol. agii articoli Aria fissa infiammabile ce. per tutto quasi il tom. i. ) ; e di tal conio quinci appunto san quelle , che da '  comodi esalano e dalle ( n. i.
62-28	puzzo					ammorbano degli appartamenti				le vicine stanze		insoffribile | insoffribile	Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Ai quest. noi. ) ne mostra a dito i mezzi di sgomberarne i gabinetti secreti , in cui si . raccolti , d '  insoffribile puzzo le vicine stanze ammorbano degli appartamenti L-zhndio più l. ' H.
65-3	emanazioni				più leggiere				tentano di continuo sopra 1 * aria comune de ' gabinetti d ' innalzarsi , e sfuggirsene libere per l ' atmosfera							1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Così quelle emanazioni siccome più leggiere d ' assai , tentano di continuo sopra 1* aria comune de '  gabinetti d '  innalzarsi, e sfuggirsene libere per l ' atmosfera .
67-24	emanazioni		aria													1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	i quali non si possono altrove , che neh  additata struttura ritrovare de '  gabinetti Ma sul proposito d ' i queste emanazioni noti vorlentissimi , a ' quali siam debitori di tante belle scoperte intorno all '  aria fissa o mefitica, ai flogisto, all '  aria defìo^isticata , infiammabile te; perocché non mi servo ìn questa Memoria delle tecniche loro espressioni .
67-43	mefitica		aria									mefitica | mefitica	Smell_Word | Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	i quali non si possono altrove , che neh  additata struttura ritrovare de '  gabinetti Ma sul proposito d ' i queste emanazioni noti vorlentissimi , a ' quali siam debitori di tante belle scoperte intorno all '  aria fissa o mefitica, ai flogisto, all '  aria defìo^isticata , infiammabile te; perocché non mi servo ìn questa Memoria delle tecniche loro espressioni .
70-2	fetore			io		che prima le rendeva pressoché inabitabili				stanze		fetore	Disgust | Smell_Word	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	dal fetore, che prima le rendeva pressoché inabitabili (a). lo ciò per anche il Wolfìo intendesse , ci io sappia , quanto il signor Cavaliere i immaginassi di fare ; Roller ( loc. eit. )17 §. p.
76-29	puzza									da ' luoghi segreti		puzza	Smell_Word | Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	sa, generalmente pr 11  ' f .no, d.i n.-.r.ì eziandio, i r/uagrave in co modo  ' del '  puzza nell; cj-s  Ir.o c^i.
79-7	fetore											fetore	Smell_Word | Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	dìjjidkime cavetur , m loca secreta fetore lini molesta ; ab ìis tediar* pariìbiis , quorum frequenti!)?
87-28	fetore				assai forte					due gabinetti segreti	talvolta	fetore	Smell_Word | Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	pian terreno, l ' altro al piano della infermeria: fattisi per questa Illustrissima Congregazione correggere giusta i modi medesimi , se ne tolse affatto il fetore , il quale talvolta assai forte comunicavasi a tratto notabìle della corsia, §. ig.
92-11	fetore									le sue stanze		fetore	Smell_Word | Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Digitized by Google semplice utilità d ' aver tolto il fetore al 1 le sue stanze. §. ii.
103-24	fetore									de ' d orni itoj		fetore	Smell_Word | Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Si fecero ne '  gabinetti t fori accennati (§. 6. n. 7.) : con tutto ciò il fetore de '  d orni itoj non giunse a torsi del tutto .
107-32	odore								per sin ne ' tempi piovosi ed umidi	a  dormitoj		cattivo | cattivo	Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Riuscì con tal mezzo, senza multiplicar buchi ne '  gabinetti, di togliere a  dormitoj, per sin ne '  tempi piovosi ed umidi, quel resto di cattivo odore, che ZI tion avea potuto l ' ordinario metodo { §. ó .
115-52	odore								se i fori sono ben fatti	le stanze vicine		cattivo | cattivo	Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Per l ' altro canto però non è poi necessaria tanta diligenza su questo punto ; la quale  eziandio sarebbe presso che impossibile ad ottenersi in certi luoghi di numerose persone» Imperocché, se i fori sono ben fatti, non v ' ha più 3 temersi chespargasi il cattivo odore per le stanze vicine , Che quanto ne uscirà dalla fogna, altrettanto pe '  proporzionati fori ne esalerà- D ' altra parte se je emanazioni della cloaca uscir.™ di continuo , sarà questa util cosa riguardo a quelle prime vampe micidiali, le quali dovranno una volta uscire al primo aprirsi della, cloaca al tempo di espurgarla. §. jg, Del resto quanto alla quantità o all '  ampiezza de '  fori sovraccenpati (§. 6. e 7. ), e al luogo, ove si debban fare per esser più utili, non può se non se in generale stabilirsi; 1.9 Che sempre è miglior cosa, se il foro inferiore ( w, j, §. 6. ) si potrà far tale, che metta, e comunichi in una cantina piuttosto, che fuori all ' aria libera.
115-71	esalerà									dalla fogna						1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Per l ' altro canto però non è poi necessaria tanta diligenza su questo punto ; la quale  eziandio sarebbe presso che impossibile ad ottenersi in certi luoghi di numerose persone» Imperocché, se i fori sono ben fatti, non v ' ha più 3 temersi chespargasi il cattivo odore per le stanze vicine , Che quanto ne uscirà dalla fogna, altrettanto pe '  proporzionati fori ne esalerà- D ' altra parte se je emanazioni della cloaca uscir.™ di continuo , sarà questa util cosa riguardo a quelle prime vampe micidiali, le quali dovranno una volta uscire al primo aprirsi della, cloaca al tempo di espurgarla. §. jg, Del resto quanto alla quantità o all '  ampiezza de '  fori sovraccenpati (§. 6. e 7. ), e al luogo, ove si debban fare per esser più utili, non può se non se in generale stabilirsi; 1.9 Che sempre è miglior cosa, se il foro inferiore ( w, j, §. 6. ) si potrà far tale, che metta, e comunichi in una cantina piuttosto, che fuori all ' aria libera.
115-79	emanazioni									della cloaca						1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Per l ' altro canto però non è poi necessaria tanta diligenza su questo punto ; la quale  eziandio sarebbe presso che impossibile ad ottenersi in certi luoghi di numerose persone» Imperocché, se i fori sono ben fatti, non v ' ha più 3 temersi chespargasi il cattivo odore per le stanze vicine , Che quanto ne uscirà dalla fogna, altrettanto pe '  proporzionati fori ne esalerà- D ' altra parte se je emanazioni della cloaca uscir.™ di continuo , sarà questa util cosa riguardo a quelle prime vampe micidiali, le quali dovranno una volta uscire al primo aprirsi della, cloaca al tempo di espurgarla. §. jg, Del resto quanto alla quantità o all '  ampiezza de '  fori sovraccenpati (§. 6. e 7. ), e al luogo, ove si debban fare per esser più utili, non può se non se in generale stabilirsi; 1.9 Che sempre è miglior cosa, se il foro inferiore ( w, j, §. 6. ) si potrà far tale, che metta, e comunichi in una cantina piuttosto, che fuori all ' aria libera.
115-96	vampe								le quali dovranno una volta uscire al primo aprirsi della , cloaca al tempo di espurgarla			micidiali | micidiali	Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Per l ' altro canto però non è poi necessaria tanta diligenza su questo punto ; la quale  eziandio sarebbe presso che impossibile ad ottenersi in certi luoghi di numerose persone» Imperocché, se i fori sono ben fatti, non v ' ha più 3 temersi chespargasi il cattivo odore per le stanze vicine , Che quanto ne uscirà dalla fogna, altrettanto pe '  proporzionati fori ne esalerà- D ' altra parte se je emanazioni della cloaca uscir.™ di continuo , sarà questa util cosa riguardo a quelle prime vampe micidiali, le quali dovranno una volta uscire al primo aprirsi della, cloaca al tempo di espurgarla. §. jg, Del resto quanto alla quantità o all '  ampiezza de '  fori sovraccenpati (§. 6. e 7. ), e al luogo, ove si debban fare per esser più utili, non può se non se in generale stabilirsi; 1.9 Che sempre è miglior cosa, se il foro inferiore ( w, j, §. 6. ) si potrà far tale, che metta, e comunichi in una cantina piuttosto, che fuori all ' aria libera.
1-42	profumi			mio												1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	viene praticato itagli esteri IJJlìzj di Sanili , risponderò il più brevemente possibile a ciò che mi è imposio, tralasciami» tutto quel che potrebbe rendere più erudito questo mio Rapporto appena a coni premi ere la storia de '  profumi , e le ultime scoperte che si leccro ìli <|[:t.jto articolo dì pubblica salute, e le contese, cui queste scoperte medesime provocarono.
3-14	profumi	delle lettere							col mezzo della fiamma							1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Passo dunque senza pi l ' i a dire » Primieramente come gli profumi delle lettere si fecero costantemente dal nostro Magistrato di Sanità col mezzo della fiamma, a traverso delta quale si fanno passare e ripassare le tenere già Spiegato coli '  ajuto di forbici, e di lunghe mollette di ferro.
5-10	profumi			egli	diverti											1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Marco Massoni , che sembra volesse egli destinare a profumi diverti dalla semplice liamma; ma questa macchina è rimasta inoperosi per molti anni, sino a che lo stesso incaricato dalla Commissione la feci riaccomodare per gli profumi col gas acido muriatico ossigenalo , ossia colla donna.
5-39	profumi								riaccomodare per gli profumi col gas acido muriatico ossigenalo , ossia colla donna							1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Marco Massoni , che sembra volesse egli destinare a profumi diverti dalla semplice liamma; ma questa macchina è rimasta inoperosi per molti anni, sino a che lo stesso incaricato dalla Commissione la feci riaccomodare per gli profumi col gas acido muriatico ossigenalo , ossia colla donna.
10-30	profumi				ordinali							si rifletta che questi furono sempre da noi prefetti a quelli altri ,	Trust	Positive		1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Serve pure alla nostra Commissione il metodo delle fumigazioni coli '  acido muriatico ossigenato ad espurgare i bastimenti stanne, e robe infette, mila volta che vengono gli profumi ordinali; e si rifletta che questi furono sempre da noi prefetti a quelli altri, die per molto tempo si usarono nel Lazzeretto di Morsigli» , contro i quali gridarono sì altamente e Chimici , e Medici francesi.
11-2	profumi	colle sostanze aromatiche , resinose , balsamiche				non servono se non a mascherare per un istante l ' odore infetto senza snaturare in alcun modo i miasmi contagiosi										1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Gli profumi , dice saviamente un recentissimo Scrittore di quella nazione , colle sostanze aromatiche, resinose, balsamiche debbono essere banditi , poiché ad altro non servono se non a mascherare per un istante l ' odore infetto senza snaturare in alcun modo i miasmi contagiosi.
11-38	odore				infetto							debbono essere banditi , poiché ad altro non servono se non a mascherare per un istante l ' odore infetto	Anticipation	Negative		1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Gli profumi , dice saviamente un recentissimo Scrittore di quella nazione , colle sostanze aromatiche, resinose, balsamiche debbono essere banditi , poiché ad altro non servono se non a mascherare per un istante l ' odore infetto senza snaturare in alcun modo i miasmi contagiosi.
11-46	miasmi											contagiosi | contagiosi	Fear			1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Gli profumi , dice saviamente un recentissimo Scrittore di quella nazione , colle sostanze aromatiche, resinose, balsamiche debbono essere banditi , poiché ad altro non servono se non a mascherare per un istante l ' odore infetto senza snaturare in alcun modo i miasmi contagiosi.
18-19	profumi			dal Padre M												1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	i „ |i etichi ad alcune di quelle, L -„- nominare, e gli profumi decritti dal Padre M; famosa peste di Genova del ,tì5fi non contenevano un minor numero dì ,4 o .6 droghe, alcune delle quali doglia .li.le affatto inerii altre attive di molto per la felice esperienza che ne fece quel bravo e pio Religioso, il sig.
19-13	profumi									in Genova						1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Cornei infatti, membro della Giunta Sanitaiivn ili Lisbona parlando de '  profumi aduprati in Genova dal Patir.
24-37	miasmi											putridi | putridi | instituirono gli esperimenti per neutra lizzarli , e distruggerli | putridi	Disgust	Negative		1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Ma le sperienze fatte da costui, e do Morveau, e da qualche , altro non porteranno forse l ' ultimo trailo ili convinzione nell ' animo de '  più scrupolosi sul dubbio che i miasmi putridi, sovra de '  quali » '  instituirono gli esperimenti per neutra lizzarli , e distruggerli, possono essere di una natura ben diversa dalli pestiferi.
27-53	profumi					effetti i gran lunga maggiori										1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Comes che sia un pò troppo forte la dose del nitro, per cui si da facilmente origine all ' addo solforico, che di sua natura è molto pesame e poco espansilc, ed inferiore per tal ragione al gas acido solforoso, dal qual solo attender si possono negli indicati profumi effetti i gran lunga maggiori ; oltre che forse potrebbe temersi con tal dose di nitro in combustione <«>> che per avventura si sollevassero nel fornello delle scintille, pet cui venissero ad essere ia cane sovraposte danneggiale.
28-6	profumo									per il Lazzeretto di Marsiglia		Peggio ancora deve avvenire	Anticipation	Negative		1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Peggio ancora deve avvenire nel profumo del Dottor Roussel suggerito dal sig.
30-13	profumo		alle lettere		simile							forse è stato l ' uso sao ristretto ad espurgare bastimenti e stanze abitate da ' qua r.in renanti	Anticipation	Positive		1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Non credo però che in Marsiglia sia stato giammai applicalo un simile profumo alle lettere, e forse è stato l ' uso sao ristretto ad espurgare bastimenti e stanze abitate da '  qua r.in renanti , lasciate una volta in disparte molte droghe , per cui Unto cari si falsano pagare , e si pagano ancora in quel Lazzeretto gli profumi.
30-62	profumi									in quel Lazzeretto						1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Non credo però che in Marsiglia sia stato giammai applicalo un simile profumo alle lettere, e forse è stato l ' uso sao ristretto ad espurgare bastimenti e stanze abitate da '  qua r.in renanti , lasciate una volta in disparte molte droghe , per cui Unto cari si falsano pagare , e si pagano ancora in quel Lazzeretto gli profumi.
32-16	profumo		le lettere		altro					nel lazaretto di Pomegne						1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Vengo poi finalmente assicurato da varj Negozianti non assoggettarsi nel lazaretto di Pomegne ad altro profumo le lettere che si recano in Marsiglia, se non a quello della loro immersione nell ' aceto, immersione antichissima , accreditata in molti luoghi, ed usata principalmente negli Stati Austriaci, ove in tal maniera si purgano tutte le lettere procedenti da paesi infelli , o sospetti del Dominio Ottomano.
34-101	miasma											contagiosa | contagiosa	Fear	Negative		1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	In tal modo, egli dice, venendo la lettera ad essere penetrala dall ' aedo vaporizzalo può benissimo essere espurgata senza permettersi eli aprirla, e ciò mi con ( 7). ad esaminare quel die ralF esempio di Malta ti propoi* lieo e collega nostro -Dottor Borland , la di cui saggezza i «d una vera filantropia ce Io fa paragonare a quel celebre concittadino Howard , personaggio ben degna di non tana iure, il calore del l ' orna, ei dice, puà servire a purgar le re di qualunque miasma contagiosa, come serve a distruggere qnaluuqne principio di corruzione ne '  corpi organici.
36-17	miasmi			ìo	contagiosi											1815__Rapporto_del_professore_G_A_Mongiardini_su_gli_profumi_delle_lettere,_presentato_alla_commissione_centrale_di_Sanita__51_distribution.tsv	noemi.tsv	Ed ìo pure riconoscendo, come dicea poc ' anzi, un ' indole animale nei miasmi contagiosi, sono inclinatissiino a credere clic per tal modo possan eglino abbruciarsi imi era niente-, mi rincresce però che questo genere di prove contar no possa per anche in sua favore quella serie di secali, che si vorrebbe In un ' affare di rama importanza.
