Pos	Smell_Word	Smell_Source	Odour_Carrier	Perceiver	Quality	Effect	Evoked_Odorant	Creator	Circumstances	Location	Time	Emotion	Emotion_Type	Emotion_Sentiment	Emotion_Other	Title	Annotator	Sentence
22-13	celle	jasmin | l'ambre	celle	hommes délicats essensuéls	préférable											0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Dites, hommes délicats essensuéls , n'est -elle pas préférable, l'Odeur de l'ambre , du jasmin i dè là rose , à celle du tabac?
22-25	celle	tabac														0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Dites, hommes délicats essensuéls , n'est -elle pas préférable, l'Odeur de l'ambre , du jasmin i dè là rose , à celle du tabac?
23-10	l'odeur	plante Vénéneuse		vous-obstinéz	âcre | pénétrante											0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Pourquoî donc vous-obstinéz votis à savourer ‘Sans cessé l'odeur âcre et pénétrante' d'tine plante Vénéneuse ?
3-14	nez			vous	vénérables											0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Comment recevrez - vous les conseils que je vais vous donner V vénérables nez de mes concitoyens !
4-15	puante	tabac | poudre		vous								jouissances	Joy	Positive		0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Je viens blâmer l'usage où vous êtes de vous alimenter d'une poudre noire et puante ; je veux vous priver d'une de vos plus grandes jouissances.
8-49	l'odorat				finesse	détruire										0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Aujourd'hui, ses mauvais effets se bornent, en France, ,à ceux qu'elle eut et aura toujours , de dessécher le cerveau , d'ouvrir un cautère qu'on ne peut plus fermer sans danger , d'affaiblir la mémoire, de détruire en grande partie la finesse de l'odorat.
11-40	l'odeur	celle qui			la plus repoussante											0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	certes , je ne prétends pas disputer sur les goûts; mais parmi les plantes qui pourraient donner à vos organes cette commetion que l'habitude vous a rendue si agréable, pourquoi avez -vous choisi celle qui a l'odeur la plus repoussante, la couleur la moins attrayante; celle dont la feuille ne produit un picottement douloureux, que lorsqu'elle est à demi putréfaite?
14-96	nous		corps	nous | s'exilaient	diverses | qui | dangereuses | utiles											0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	On rit des sauvages qui impriment sur leurs corps de bi- barres figures, qui pendent dés os, dès coquillages,, des coraux , aux cartilages de leurs liez et dè leurs oîêréS \\ qui teignent Desirs dents-, leurs sourcils , leurs paupières ; qui enfin gâtent , déforment tout ce que là Mâture leur avait donné de bon et de beau ; niais en Vérité,, samtiié's-floüs moins déraisonnables £ La Nat ure no us' a fait' des nez pOUf que nous puissions juger des diverses odeurs qui s'exilaient: des corps, et cônséqüemmént dè leurs qualités utiles ou dangereuses.
14-97	qui															0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	On rit des sauvages qui impriment sur leurs corps de bi- barres figures, qui pendent dés os, dès coquillages,, des coraux , aux cartilages de leurs liez et dè leurs oîêréS \\ qui teignent Desirs dents-, leurs sourcils , leurs paupières ; qui enfin gâtent , déforment tout ce que là Mâture leur avait donné de bon et de beau ; niais en Vérité,, samtiié's-floüs moins déraisonnables £ La Nat ure no us' a fait' des nez pOUf que nous puissions juger des diverses odeurs qui s'exilaient: des corps, et cônséqüemmént dè leurs qualités utiles ou dangereuses.
14-98	s'exilaient															0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	On rit des sauvages qui impriment sur leurs corps de bi- barres figures, qui pendent dés os, dès coquillages,, des coraux , aux cartilages de leurs liez et dè leurs oîêréS \\ qui teignent Desirs dents-, leurs sourcils , leurs paupières ; qui enfin gâtent , déforment tout ce que là Mâture leur avait donné de bon et de beau ; niais en Vérité,, samtiié's-floüs moins déraisonnables £ La Nat ure no us' a fait' des nez pOUf que nous puissions juger des diverses odeurs qui s'exilaient: des corps, et cônséqüemmént dè leurs qualités utiles ou dangereuses.
21-29	parfums		cheveux | corps	Les anciens	sàuves											0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Les anciens, bien plus Sages , bien, plus voluptèux que nous , répandaient sur leurs cheveux , Sur. tout  leur corps , de sàuves parfums.
22-13	celle	jasmin | l'ambre	celle	hommes délicats essensuéls	préférable											0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Dites, hommes délicats essensuéls , n'est -elle pas préférable, l'Odeur de l'ambre , du jasmin i dè là rose , à celle du tabac?
22-25	celle	tabac														0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Dites, hommes délicats essensuéls , n'est -elle pas préférable, l'Odeur de l'ambre , du jasmin i dè là rose , à celle du tabac?
23-10	l'odeur	plante Vénéneuse		vous-obstinéz	âcre | pénétrante											0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Pourquoî donc vous-obstinéz votis à savourer ‘Sans cessé l'odeur âcre et pénétrante' d'tine plante Vénéneuse ?
2-84	parfum	haleine					son				enfance	calme | gaîté	Other | Joy	Positive | Positive	Calm | 	0021F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Age de l'aimable innocence ,Age du bonheur, de la paix i Toi que ne troublèrent jamais Ni la crainte, ni l'espérance;Toi qui fut comblé de présens ;Age charment , naïve enfance ,Viens prêter à mes vers tes attraits séduisansvSur ton front la gaîté repose ;Le calme habite dans ton coeur;Tu brilles , pareille à la fleur Dans les champs fraîchement éclose;Et ton haleine a ïa douceur.,Le tendre parfum de la rose Qui dans les airs charmés exhale son odeur.
2-93	exhale	son														0021F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Age de l'aimable innocence ,Age du bonheur, de la paix i Toi que ne troublèrent jamais Ni la crainte, ni l'espérance;Toi qui fut comblé de présens ;Age charment , naïve enfance ,Viens prêter à mes vers tes attraits séduisansvSur ton front la gaîté repose ;Le calme habite dans ton coeur;Tu brilles , pareille à la fleur Dans les champs fraîchement éclose;Et ton haleine a ïa douceur.,Le tendre parfum de la rose Qui dans les airs charmés exhale son odeur.
2-95	odeur		airs | exhale									La férocité s'amollit | sourire | charmés	Anger | Joy | Love	Positive | Positive | Positive	 |  | 	0021F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Age de l'aimable innocence ,Age du bonheur, de la paix i Toi que ne troublèrent jamais Ni la crainte, ni l'espérance;Toi qui fut comblé de présens ;Age charment , naïve enfance ,Viens prêter à mes vers tes attraits séduisansvSur ton front la gaîté repose ;Le calme habite dans ton coeur;Tu brilles , pareille à la fleur Dans les champs fraîchement éclose;Et ton haleine a ïa douceur.,Le tendre parfum de la rose Qui dans les airs charmés exhale son odeur.
2-84	parfum						son				enfance	haleine	Smell_Word			0021F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Age de l'aimable innocence ,Age du bonheur, de la paix i Toi que ne troublèrent jamais Ni la crainte, ni l'espérance;Toi qui fut comblé de présens ;Age charment , naïve enfance ,Viens prêter à mes vers tes attraits séduisansvSur ton front la gaîté repose ;Le calme habite dans ton coeur;Tu brilles , pareille à la fleur Dans les champs fraîchement éclose;Et ton haleine a ïa douceur.,Le tendre parfum de la rose Qui dans les airs charmés exhale son odeur.
2-93	exhale	son														0021F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Age de l'aimable innocence ,Age du bonheur, de la paix i Toi que ne troublèrent jamais Ni la crainte, ni l'espérance;Toi qui fut comblé de présens ;Age charment , naïve enfance ,Viens prêter à mes vers tes attraits séduisansvSur ton front la gaîté repose ;Le calme habite dans ton coeur;Tu brilles , pareille à la fleur Dans les champs fraîchement éclose;Et ton haleine a ïa douceur.,Le tendre parfum de la rose Qui dans les airs charmés exhale son odeur.
2-95	odeur		airs | exhale									charmés	Love	Positive		0021F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Age de l'aimable innocence ,Age du bonheur, de la paix i Toi que ne troublèrent jamais Ni la crainte, ni l'espérance;Toi qui fut comblé de présens ;Age charment , naïve enfance ,Viens prêter à mes vers tes attraits séduisansvSur ton front la gaîté repose ;Le calme habite dans ton coeur;Tu brilles , pareille à la fleur Dans les champs fraîchement éclose;Et ton haleine a ïa douceur.,Le tendre parfum de la rose Qui dans les airs charmés exhale son odeur.
1-29	parfum	leur														002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	LES PARFUMS\r\rAprès avoir assez longuement parlé de l’intelligence des fleurs, il\rsemblera naturel que nous disions un mot de leur âme qui est leur\rparfum.
2-16	parfum			nous	une autre sphère où baigne la raison	touchons tout de suite à l ’ inconnaissable						Malheureusement	Sadness	Negative		002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Malheureusement ici, de même que pour l’âme de l’homme, parfum\rd’une autre sphère où baigne la raison, nous touchons tout de suite à\rl’inconnaissable.
3-23	répandent	corolles	air		férié | magnifique	attirer les insectes										002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Nous ignorons à peu près entièrement l’intention de\rcette zone d’air férié et invisiblement magnifique que les corolles\rrépandent autour d’elles.
5-12	odorantes	beaucoup de fleurs										importune | indifférente	Sadness | Surprise	Negative | Neutral	 | 	002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	D’abord, beaucoup de fleurs,\rparmi les plus odorantes, n’admettent pas la fécondation croisée, de\rsorte que la visite de l’abeille ou du papillon leur est indifférente ou\rimportune.
6-28	odeur	qui		insectes	sensible											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Ensuite, ce qui appelle les insectes, c’est uniquement le\rpollen et le nectar, qui généralement, n’ont pas d’odeur sensible.
7-10	parfumées	fleurs | Rose | Œillet		voyons-nous	les plus délicieusement parfumées											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Aussi\rles voyons-nous négliger les fleurs les plus délicieusement parfumées,\rtelles que la Rose et l’Œillet, pour assiéger en foule celles de\rl’Érable ou du Coudrier, dont l’arome est pour ainsi dire nul.
7-37	arome	Coudrier | Érable			nul											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Aussi\rles voyons-nous négliger les fleurs les plus délicieusement parfumées,\rtelles que la Rose et l’Œillet, pour assiéger en foule celles de\rl’Érable ou du Coudrier, dont l’arome est pour ainsi dire nul.
8-12	utiles	fleur | les			utiles											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Avouons donc que nous ne savons pas encore en quoi les parfums sont\rutiles à la fleur, de même que nous ignorons pourquoi nous les\rpercevons.
8-26	les	percevons														002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Avouons donc que nous ne savons pas encore en quoi les parfums sont\rutiles à la fleur, de même que nous ignorons pourquoi nous les\rpercevons.
8-27	percevons			notre												002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Avouons donc que nous ne savons pas encore en quoi les parfums sont\rutiles à la fleur, de même que nous ignorons pourquoi nous les\rpercevons.
9-3	odorat			notre	le plus inexpliqué											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	L’odorat est effectivement le plus inexpliqué de nos sens.
12-5	odorat			notre		importantes fonctions serviles .										002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Du reste, notre odorat exerce aussi d’importantes fonctions\rserviles.
15-2	inutiles			notre	inutiles							ils	Smell_Word			002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Les parfums sont en\rtout point inutiles à notre vie physique.
16-7	ils				trop permanents							Trop violents | hostiles | hostiles | Trop violents	Anger | Anger | Anger | Anger	Negative | Negative | Negative | Negative	 |  |  | 	002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Trop violents, trop\rpermanents, ils peuvent même lui devenir hostiles.
21-3	odorat			nous	de luxe											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	L’odorat est\rl’unique sens de luxe qu’elle nous ait octroyé.
25-11	odeurs	encens | myrrhe | benjoin | musc		Les anciens	bonnes | les plus brutales | les plus lourdes | les plus solides											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Les anciens ne s’occupaient guère que des\rbonnes odeurs les plus brutales, les plus lourdes, les plus solides,\rpour ainsi dire, musc, benjoin, myrrhe, encens, etc., et l’arome des\rfleurs est bien rarement mentionné dans les poèmes grecs et latins et\rdans la littérature hébraïque.
25-42	arome	fleurs							dans la littérature hébraïque | dans les poèmes grecs et latins							002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Les anciens ne s’occupaient guère que des\rbonnes odeurs les plus brutales, les plus lourdes, les plus solides,\rpour ainsi dire, musc, benjoin, myrrhe, encens, etc., et l’arome des\rfleurs est bien rarement mentionné dans les poèmes grecs et latins et\rdans la littérature hébraïque.
26-18	respirer	Violette | Rose		habitant des grandes villes					qui découvre une fleur		Aujourd ’ hui					002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Aujourd’hui, voyons-nous nos paysans,\rmême dans leurs plus longs loisirs, songer à respirer une Violette ou\rune Rose?
28-13	odorat			nos	le dernier né de nos sens | pas « en voie de régression											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Il y a donc quelque sujet\rd’admettre que l’odorat soit le dernier né de nos sens, le seul\rpeut-être, qui ne soit pas «en voie de régression», comme disent\rpesamment les biologistes.
35-2	parfums		air									joyaux | Il ne serait pas surprenant | heureux | surprises	Joy | Anticipation | Joy | Surprise	Positive | Neutral | Positive | Positive	 |  |  | 	002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Les parfums qui sont les joyaux de cet air qui nous fait vivre, ne\rl’ornent pas sans raison.
40-9	ceux	pluie | crépuscule														002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Comme\rnous sommes sur le point de saisir ceux de la pluie ou du crépuscule,\rpourquoi n’arriverions-nous pas à démêler et à fixer le parfum de la\rneige, de la glace, de la rosée du matin, des prémices de l’aube, du\rscintillement des étoiles?
40-28	neige	neige | scintillement des étoiles | glace | rosée du matin | prémices de l ’ aube | ceux														002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Comme\rnous sommes sur le point de saisir ceux de la pluie ou du crépuscule,\rpourquoi n’arriverions-nous pas à démêler et à fixer le parfum de la\rneige, de la glace, de la rosée du matin, des prémices de l’aube, du\rscintillement des étoiles?
41-5	parfum	son | nuage qui plane | murmure de l ’ eau | rayon de lune			inconcevable					dans l ’ espace		sourire de l ’ azur | sourire de l ’ azur	Joy | Joy	Positive | Positive	 | 	002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Tout doit avoir son parfum, encore\rinconcevable, dans l’espace, même un rayon de lune, un murmure de l’eau,\run nuage qui plane, un sourire de l’azur...
1-29	parfum	leur														002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	LES PARFUMS\r\rAprès avoir assez longuement parlé de l’intelligence des fleurs, il\rsemblera naturel que nous disions un mot de leur âme qui est leur\rparfum.
2-16	parfum			nous	une autre sphère où baigne la raison	touchons tout de suite à l ’ inconnaissable						Malheureusement	Sadness	Negative		002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Malheureusement ici, de même que pour l’âme de l’homme, parfum\rd’une autre sphère où baigne la raison, nous touchons tout de suite à\rl’inconnaissable.
3-23	répandent		air		férié | magnifique	attirer les insectes						corolles	Smell_Word			002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Nous ignorons à peu près entièrement l’intention de\rcette zone d’air férié et invisiblement magnifique que les corolles\rrépandent autour d’elles.
5-12	odorantes	beaucoup de fleurs										indifférente ou importune	Disgust	Negative		002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	D’abord, beaucoup de fleurs,\rparmi les plus odorantes, n’admettent pas la fécondation croisée, de\rsorte que la visite de l’abeille ou du papillon leur est indifférente ou\rimportune.
6-28	odeur	qui		insectes	sensible											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Ensuite, ce qui appelle les insectes, c’est uniquement le\rpollen et le nectar, qui généralement, n’ont pas d’odeur sensible.
7-10	parfumées	fleurs | Rose | Œillet		voyons-nous	les plus délicieusement parfumées											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Aussi\rles voyons-nous négliger les fleurs les plus délicieusement parfumées,\rtelles que la Rose et l’Œillet, pour assiéger en foule celles de\rl’Érable ou du Coudrier, dont l’arome est pour ainsi dire nul.
7-37	arome	Coudrier | Érable			nul											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Aussi\rles voyons-nous négliger les fleurs les plus délicieusement parfumées,\rtelles que la Rose et l’Œillet, pour assiéger en foule celles de\rl’Érable ou du Coudrier, dont l’arome est pour ainsi dire nul.
8-12	utiles	fleur | les			utiles											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Avouons donc que nous ne savons pas encore en quoi les parfums sont\rutiles à la fleur, de même que nous ignorons pourquoi nous les\rpercevons.
8-26	les	percevons														002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Avouons donc que nous ne savons pas encore en quoi les parfums sont\rutiles à la fleur, de même que nous ignorons pourquoi nous les\rpercevons.
8-27	percevons			notre												002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Avouons donc que nous ne savons pas encore en quoi les parfums sont\rutiles à la fleur, de même que nous ignorons pourquoi nous les\rpercevons.
9-3	odorat			notre	le plus inexpliqué											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	L’odorat est effectivement le plus inexpliqué de nos sens.
12-5	odorat			notre		importantes fonctions serviles .										002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Du reste, notre odorat exerce aussi d’importantes fonctions\rserviles.
15-2	inutiles			notre	inutiles							ils	Smell_Word			002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Les parfums sont en\rtout point inutiles à notre vie physique.
16-7	ils				trop permanents							Trop violents | hostiles | Trop violents | hostiles	Anger | Anger | Anger | Anger	Negative | Negative | Negative | Negative	 |  |  | 	002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Trop violents, trop\rpermanents, ils peuvent même lui devenir hostiles.
21-3	odorat			nous	de luxe											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	L’odorat est\rl’unique sens de luxe qu’elle nous ait octroyé.
25-11	odeurs	encens | myrrhe | benjoin | musc		Les anciens	bonnes | les plus brutales | les plus lourdes | les plus solides											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Les anciens ne s’occupaient guère que des\rbonnes odeurs les plus brutales, les plus lourdes, les plus solides,\rpour ainsi dire, musc, benjoin, myrrhe, encens, etc., et l’arome des\rfleurs est bien rarement mentionné dans les poèmes grecs et latins et\rdans la littérature hébraïque.
25-42	arome	fleurs							dans la littérature hébraïque | dans les poèmes grecs et latins							002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Les anciens ne s’occupaient guère que des\rbonnes odeurs les plus brutales, les plus lourdes, les plus solides,\rpour ainsi dire, musc, benjoin, myrrhe, encens, etc., et l’arome des\rfleurs est bien rarement mentionné dans les poèmes grecs et latins et\rdans la littérature hébraïque.
26-18	respirer	Violette | Rose		habitant des grandes villes					qui découvre une fleur		Aujourd ’ hui					002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Aujourd’hui, voyons-nous nos paysans,\rmême dans leurs plus longs loisirs, songer à respirer une Violette ou\rune Rose?
28-13	odorat			nos	le dernier né de nos sens | pas « en voie de régression											002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Il y a donc quelque sujet\rd’admettre que l’odorat soit le dernier né de nos sens, le seul\rpeut-être, qui ne soit pas «en voie de régression», comme disent\rpesamment les biologistes.
35-2	parfums		air									heureux | joyaux | surprises	Joy | Joy | Surprise	Positive | Positive | Positive	 |  | 	002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Les parfums qui sont les joyaux de cet air qui nous fait vivre, ne\rl’ornent pas sans raison.
40-9	ceux	pluie | crépuscule														002F Maeterlinck 1907 L'intelligence des fleurs.tsv	pasquale.tsv	Comme\rnous sommes sur le point de saisir ceux de la pluie ou du crépuscule,\rpourquoi n’arriverions-nous pas à démêler et à fixer le parfum de la\rneige, de la glace, de la rosée du matin, des prémices de l’aube, du\rscintillement des étoiles?
